element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,0,1,0,0,3,1.2,0.0,0.0,0.1,28,2025-26,David Raya Martín,1,7,True
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28,2025-26,Kepa Arrizabalaga Revuelta,1,7,True
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28,2025-26,Karl Hein,1,7,True
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28,2025-26,Tommy Setford,1,7,True
5,90,0,1,0,1,1,0,9,6.6,0.6,2.0,0.9,28,2025-26,Gabriel dos Santos Magalhães,1,7,True
6,90,1,0,0,1,0,0,10,33.6,0.1,33.0,6.7,28,2025-26,William Saliba,1,7,True
7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28,2025-26,Riccardo Calafiori,1,7,True
8,90,1,0,0,1,0,0,8,2.6,10.7,0.0,1.3,28,2025-26,Jurriën Timber,1,7,True
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28,2025-26,Jakub Kiwior,1,7,True
10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28,2025-26,Myles Lewis-Skelly,1,7,True
11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28,2025-26,Benjamin White,1,7,True
12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28,2025-26,Oleksandr Zinchenko,16,6,False
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28,2025-26,Brayden Clarke,1,7,True
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28,2025-26,Maldini Kacurri,1,7,True
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28,2025-26,Josh Nichols,1,7,True
16,90,0,0,0,1,0,0,2,4.2,14.4,2.0,2.1,28,2025-26,Bukayo Saka,1,7,True
17,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28,2025-26,Martin Ødegaard,1,7,True
