element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,1,0,0,0,6,15.0,0.1,0.0,1.5,9,2025-26,David Raya Martín,1,8,True
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Kepa Arrizabalaga Revuelta,1,8,True
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Karl Hein,1,8,True
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Tommy Setford,1,8,True
5,90,0,0,1,0,0,0,9,27.2,11.2,9.0,4.7,9,2025-26,Gabriel dos Santos Magalhães,1,8,True
6,45,0,0,0,0,0,0,1,7.4,1.5,0.0,0.9,9,2025-26,William Saliba,1,8,True
7,81,0,0,1,0,0,0,6,4.6,3.8,2.0,1.0,9,2025-26,Riccardo Calafiori,1,8,True
8,90,0,0,1,0,0,0,6,11.8,16.7,2.0,3.1,9,2025-26,Jurriën Timber,1,8,True
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Jakub Kiwior,1,8,True
10,2,0,0,0,0,0,0,1,0.2,0.3,0.0,0.1,9,2025-26,Myles Lewis-Skelly,1,8,True
11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Benjamin White,1,8,True
12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Oleksandr Zinchenko,16,4,False
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Brayden Clarke,1,8,True
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Maldini Kacurri,1,8,True
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Josh Nichols,1,8,True
16,65,0,0,1,0,0,0,3,2.2,1.9,3.0,0.7,9,2025-26,Bukayo Saka,1,8,True
17,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Martin Ødegaard,1,8,True
18,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Noni Madueke,1,8,True
19,24,0,0,0,0,0,0,1,1.0,0.3,2.0,0.3,9,2025-26,Gabriel Martinelli Silva,1,8,True
20,90,0,0,1,0,0,0,3,4.8,7.7,33.0,4.6,9,2025-26,Leandro Trossard,1,8,True
21,81,0,1,1,0,0,0,7,21.2,40.8,29.0,9.1,9,2025-26,Declan Rice,1,8,True
22,8,0,0,0,0,0,0,1,4.0,0.3,0.0,0.4,9,2025-26,Mikel Merino Zazón,1,8,True
23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Fábio Ferreira Vieira,1,8,True
24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Christian Nørgaard,1,8,True
25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Ethan Nwaneri,1,8,True
26,90,0,0,1,0,0,0,5,18.2,15.5,0.0,3.4,9,2025-26,Martín Zubimendi Ibáñez,1,8,True
27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Reiss Nelson,5,12,True
28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Ismeal Kabia,1,8,True
29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Albert Sambi Lokonga,1,8,True
30,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Kai Havertz,1,8,True
31,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Gabriel Fernando de Jesus,1,8,True
32,90,0,0,1,0,0,0,8,27.2,0.0,0.0,2.7,9,2025-26,Emiliano Martínez Romero,2,13,True
33,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Marco Bizot,2,13,True
34,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,2025-26,Joe Gauci,2,13,True
