element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,0,1,0,0,2,20.0,0.0,0.0,2.0,19,2025-26,David Raya Martín,1,2,True
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Kepa Arrizabalaga Revuelta,1,2,True
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Karl Hein,1,2,True
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Tommy Setford,1,2,True
5,76,1,0,1,0,0,0,15,47.8,1.4,35.0,8.4,19,2025-26,Gabriel dos Santos Magalhães,1,2,True
6,90,0,0,0,1,0,0,2,9.4,1.0,0.0,1.0,19,2025-26,William Saliba,1,2,True
7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Riccardo Calafiori,1,2,True
8,82,0,1,1,0,0,0,9,21.2,22.3,26.0,7.0,19,2025-26,Jurriën Timber,1,2,True
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Jakub Kiwior,1,2,True
10,13,0,0,0,1,0,0,1,0.2,0.2,0.0,0.0,19,2025-26,Myles Lewis-Skelly,1,2,True
11,7,0,0,0,1,0,0,1,3.0,10.3,0.0,1.3,19,2025-26,Benjamin White,1,2,True
12,90,0,0,0,2,0,0,1,15.8,30.2,7.0,5.3,19,2025-26,Oleksandr Zinchenko,16,9,True
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Brayden Clarke,1,2,True
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Maldini Kacurri,1,2,True
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Josh Nichols,1,2,True
16,82,0,1,1,0,0,0,6,0.0,13.0,15.0,2.7,19,2025-26,Bukayo Saka,1,2,True
17,90,0,1,0,1,0,0,5,32.8,45.4,41.0,11.9,19,2025-26,Martin Ødegaard,1,2,True
18,7,0,0,0,1,0,0,1,4.0,14.0,0.0,1.8,19,2025-26,Noni Madueke,1,2,True
19,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Gabriel Martinelli Silva,1,2,True
20,90,1,1,0,1,0,0,13,62.2,42.5,32.0,13.7,19,2025-26,Leandro Trossard,1,2,True
21,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Declan Rice,1,2,True
22,72,0,0,1,0,1,0,2,14.8,34.9,4.0,5.4,19,2025-26,Mikel Merino Zazón,1,2,True
23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Fábio Ferreira Vieira,1,2,True
24,17,0,0,0,1,0,0,1,8.2,0.3,0.0,0.9,19,2025-26,Christian Nørgaard,1,2,True
25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Ethan Nwaneri,1,2,True
26,90,1,0,0,1,0,0,8,45.2,24.9,34.0,10.4,19,2025-26,Martín Zubimendi Ibáñez,1,2,True
27,10,0,0,0,0,0,0,1,0.2,1.1,0.0,0.1,19,2025-26,Reiss Nelson,5,18,True
28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Ismeal Kabia,1,2,True
29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Albert Sambi Lokonga,1,2,True
30,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Kai Havertz,1,2,True
31,13,1,0,0,1,1,0,4,35.2,0.0,9.0,4.4,19,2025-26,Gabriel Fernando de Jesus,1,2,True
32,90,0,0,0,4,0,0,1,14.8,0.0,0.0,1.5,19,2025-26,Emiliano Martínez Romero,2,1,False
33,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Marco Bizot,2,1,False
34,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Joe Gauci,2,1,False
35,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Filip Marschall,2,1,False
36,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Matty Cash,2,1,False
37,90,0,0,0,4,0,0,0,19.4,25.7,0.0,4.5,19,2025-26,Lucas Digne,2,1,False
38,90,0,0,0,4,0,0,0,26.8,12.0,0.0,3.9,19,2025-26,Ezri Konsa Ngoyo,2,1,False
39,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Ian Maatsen,2,1,False
40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Tyrone Mings,2,1,False
41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Pau Torres,2,1,False
42,29,0,0,0,2,0,0,0,0.6,1.4,0.0,0.2,19,2025-26,Andrés García,2,1,False
43,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Álex Moreno Lopera,2,1,False
44,90,0,0,0,4,1,0,-1,9.8,3.3,0.0,1.3,19,2025-26,Lamare Bogarde,2,1,False
45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Lino da Cruz Sousa,2,1,False
46,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2025-26,Yasin Özcan,2,1,False
47,81,0,0,0,4,1,0,1,0.0,3.1,9.0,1.2,19,2025-26,Morgan Rogers,2,1,False
