element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,0,1,0,0,2,20.0,10.0,0.0,3.0,3,2025-26,David Raya Martín,1,12,False
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Kepa Arrizabalaga Revuelta,1,12,False
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Karl Hein,1,12,False
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Tommy Setford,1,12,False
5,90,0,0,0,1,0,0,2,15.4,1.4,2.0,1.9,3,2025-26,Gabriel dos Santos Magalhães,1,12,False
6,4,0,0,0,0,0,0,1,3.0,0.0,0.0,0.3,3,2025-26,William Saliba,1,12,False
7,90,0,0,0,1,0,0,2,9.8,1.9,11.0,2.3,3,2025-26,Riccardo Calafiori,1,12,False
8,90,0,0,0,1,0,0,2,11.4,12.4,11.0,3.5,3,2025-26,Jurriën Timber,1,12,False
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Jakub Kiwior,1,12,False
10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Myles Lewis-Skelly,1,12,False
11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Benjamin White,1,12,False
12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Oleksandr Zinchenko,16,19,True
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Brayden Clarke,1,12,False
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Maldini Kacurri,1,12,False
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Josh Nichols,1,12,False
16,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Bukayo Saka,1,12,False
17,20,0,0,0,1,0,0,1,1.4,2.2,2.0,0.6,3,2025-26,Martin Ødegaard,1,12,False
18,88,0,0,0,1,0,0,2,0.0,1.6,38.0,3.9,3,2025-26,Noni Madueke,1,12,False
19,69,0,0,1,0,0,0,3,1.4,0.4,6.0,0.8,3,2025-26,Gabriel Martinelli Silva,1,12,False
20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Leandro Trossard,1,12,False
21,90,0,0,0,1,0,0,4,13.2,22.7,3.0,3.9,3,2025-26,Declan Rice,1,12,False
22,69,0,0,1,0,0,0,3,5.2,2.3,0.0,0.8,3,2025-26,Mikel Merino Zazón,1,12,False
23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Fábio Ferreira Vieira,1,12,False
24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Christian Nørgaard,1,12,False
25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Ethan Nwaneri,1,12,False
26,90,0,0,0,1,1,0,1,1.4,2.6,5.0,0.9,3,2025-26,Martín Zubimendi Ibáñez,1,12,False
27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Reiss Nelson,5,17,False
28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Ismeal Kabia,1,12,False
29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Albert Sambi Lokonga,1,12,False
30,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Kai Havertz,1,12,False
31,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Gabriel Fernando de Jesus,1,12,False
32,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Emiliano Martínez Romero,2,8,True
33,90,0,0,0,3,1,0,0,5.8,0.0,0.0,0.6,3,2025-26,Marco Bizot,2,8,True
34,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Joe Gauci,2,8,True
35,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Filip Marschall,2,8,True
36,73,0,0,0,2,1,0,0,6.2,22.3,1.0,3.0,3,2025-26,Matty Cash,2,8,True
37,7,0,0,0,0,0,0,1,0.0,0.7,0.0,0.1,3,2025-26,Lucas Digne,2,8,True
38,90,0,0,0,3,0,0,1,18.4,14.3,4.0,3.7,3,2025-26,Ezri Konsa Ngoyo,2,8,True
39,83,0,0,0,3,0,0,1,19.0,38.1,5.0,6.2,3,2025-26,Ian Maatsen,2,8,True
40,90,0,0,0,3,0,0,1,14.4,2.1,0.0,1.7,3,2025-26,Tyrone Mings,2,8,True
41,16,0,0,0,1,0,0,1,3.4,0.5,0.0,0.4,3,2025-26,Pau Torres,2,8,True
42,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Andrés García,2,8,True
43,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Álex Moreno Lopera,2,8,True
44,6,0,0,0,0,0,0,1,0.2,1.7,0.0,0.2,3,2025-26,Lamare Bogarde,2,8,True
45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Lino da Cruz Sousa,2,8,True
46,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Yasin Özcan,2,8,True
47,90,0,0,0,3,0,0,2,9.4,4.9,21.0,3.5,3,2025-26,Morgan Rogers,2,8,True
48,90,0,0,0,3,0,0,2,15.6,20.0,17.0,5.3,3,2025-26,Youri Tielemans,2,8,True
49,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Leon Bailey,2,8,True
50,45,0,0,0,2,0,0,1,11.4,34.1,12.0,5.8,3,2025-26,Emiliano Buendía Stati,2,8,True
51,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Samuel Iling-Junior,2,8,True
52,45,0,0,0,0,0,0,1,9.2,30.8,7.0,4.7,3,2025-26,Jacob Ramsey,15,11,False
53,82,0,0,0,3,0,0,2,0.0,6.2,5.0,0.9,3,2025-26,Donyell Malen,2,8,True
54,73,0,0,0,2,0,0,2,8.0,13.9,0.0,2.2,3,2025-26,John McGinn,2,8,True
55,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Ross Barkley,2,8,True
56,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Enzo Barrenechea,2,8,True
57,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Lewis Dobbin,2,8,True
58,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Boubacar Kamara,2,8,True
59,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Amadou Onana,2,8,True
60,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Ben Broggio,2,8,True
61,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Leander Dendoncker,2,8,True
62,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Jamaldeen Jimoh-Aloba,2,8,True
63,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Kadan Young,2,8,True
64,90,0,0,0,3,0,0,2,3.8,11.8,43.0,5.9,3,2025-26,Ollie Watkins,2,8,True
65,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Zépiqueno Redmond,2,8,True
66,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Norberto Murara Neto,4,18,False
67,90,0,0,1,0,1,0,5,11.2,0.0,0.0,1.1,3,2025-26,Đorđe Petrović,4,18,False
68,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Will Dennis,4,18,False
69,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Callan McKenna,4,18,False
70,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Alex Paulsen,4,18,False
71,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Illia Zabarnyi,4,18,False
72,90,0,1,1,0,0,0,14,37.4,10.7,6.0,5.4,3,2025-26,Marcos Senesi Barón,4,18,False
73,25,0,0,0,0,0,0,1,0.0,0.1,0.0,0.0,3,2025-26,Adam Smith,4,18,False
74,90,0,0,1,0,0,0,7,19.8,19.4,1.0,4.0,3,2025-26,Adrien Truffert,4,18,False
75,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Matai Akinmboni,4,18,False
76,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Owen Bevan,4,18,False
77,64,0,0,1,0,1,0,5,7.6,0.7,4.0,1.2,3,2025-26,James Hill,4,18,False
78,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Julián Araujo Zúñiga,4,18,False
79,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Chris Mepham,4,18,False
80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2025-26,Julio Soler Barreto,4,18,False
