element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,180,0,0,0,3,0,0,3,20.0,0.0,0.0,2.0,26,2025-26,David Raya Martín,1,5,False
1,180,0,0,0,3,0,0,3,20.0,0.0,0.0,2.0,26,2025-26,David Raya Martín,1,20,False
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26,2025-26,Kepa Arrizabalaga Revuelta,1,5,False
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26,2025-26,Kepa Arrizabalaga Revuelta,1,20,False
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26,2025-26,Karl Hein,1,5,False
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26,2025-26,Karl Hein,1,20,False
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26,2025-26,Tommy Setford,1,5,False
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26,2025-26,Tommy Setford,1,20,False
5,180,0,1,0,3,1,0,7,75.8,21.4,8.0,10.5,26,2025-26,Gabriel dos Santos Magalhães,1,5,False
5,180,0,1,0,3,1,0,7,75.8,21.4,8.0,10.5,26,2025-26,Gabriel dos Santos Magalhães,1,20,False
6,90,0,0,0,2,0,0,1,18.0,2.7,0.0,2.1,26,2025-26,William Saliba,1,5,False
6,90,0,0,0,2,0,0,1,18.0,2.7,0.0,2.1,26,2025-26,William Saliba,1,20,False
7,10,0,0,0,1,0,0,2,1.6,1.6,0.0,0.4,26,2025-26,Riccardo Calafiori,1,5,False
7,10,0,0,0,1,0,0,2,1.6,1.6,0.0,0.4,26,2025-26,Riccardo Calafiori,1,20,False
8,180,0,0,0,3,0,0,3,26.2,29.9,10.0,6.6,26,2025-26,Jurriën Timber,1,5,False
8,180,0,0,0,3,0,0,3,26.2,29.9,10.0,6.6,26,2025-26,Jurriën Timber,1,20,False
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26,2025-26,Jakub Kiwior,1,5,False
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26,2025-26,Jakub Kiwior,1,20,False
