element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,1,0,0,0,6,4.4,0.0,0.0,0.4,21,2025-26,David Raya Martín,1,12,True
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,2025-26,Kepa Arrizabalaga Revuelta,1,12,True
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,2025-26,Karl Hein,1,12,True
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,2025-26,Tommy Setford,1,12,True
5,90,0,0,1,0,0,0,6,21.8,7.3,12.0,4.1,21,2025-26,Gabriel dos Santos Magalhães,1,12,True
6,90,0,0,1,0,0,0,7,13.8,19.3,0.0,3.3,21,2025-26,William Saliba,1,12,True
7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,2025-26,Riccardo Calafiori,1,12,True
8,90,0,0,1,0,0,0,6,11.0,3.7,8.0,2.3,21,2025-26,Jurriën Timber,1,12,True
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,2025-26,Jakub Kiwior,1,12,True
10,33,0,0,0,0,0,0,1,4.2,10.1,0.0,1.4,21,2025-26,Myles Lewis-Skelly,1,12,True
11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,2025-26,Benjamin White,1,12,True
12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,2025-26,Oleksandr Zinchenko,16,19,False
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,2025-26,Brayden Clarke,1,12,True
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,2025-26,Maldini Kacurri,1,12,True
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,2025-26,Josh Nichols,1,12,True
16,77,0,0,1,0,0,0,3,4.8,3.8,18.0,2.7,21,2025-26,Bukayo Saka,1,12,True
17,77,0,0,1,0,0,0,3,4.2,14.7,4.0,2.3,21,2025-26,Martin Ødegaard,1,12,True
18,12,0,0,0,0,0,0,1,2.0,14.5,4.0,2.1,21,2025-26,Noni Madueke,1,12,True
19,26,0,0,0,0,1,0,0,4.2,0.6,17.0,2.2,21,2025-26,Gabriel Martinelli Silva,1,12,True
20,63,0,0,1,0,1,0,2,2.4,1.7,9.0,1.3,21,2025-26,Leandro Trossard,1,12,True
21,90,0,0,1,0,0,0,3,18.2,28.8,7.0,5.4,21,2025-26,Declan Rice,1,12,True
22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,2025-26,Mikel Merino Zazón,1,12,True
