minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,element,Gameweek,season,name,team,opponent_team,was_home
90,0,0,1,0,0,0,0,0,0,0,0,20,2.2,0.0,0.0,0.2,0,5,0,0,1,0.00,0.01,0.01,0.19,6,False,1,37,2025-26,David Raya Martín,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,2,37,2025-26,Kepa Arrizabalaga Revuelta,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,3,37,2025-26,Karl Hein,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,4,37,2025-26,Tommy Setford,1,3,True
90,0,0,1,0,0,0,0,0,0,0,0,22,6.8,1.1,3.0,1.1,3,1,1,4,1,0.00,0.04,0.04,0.19,6,False,5,37,2025-26,Gabriel dos Santos Magalhães,1,3,True
90,0,0,1,0,0,0,0,0,0,0,2,27,19.6,1.8,0.0,2.1,7,2,0,7,1,0.00,0.01,0.01,0.19,8,False,6,37,2025-26,William Saliba,1,3,True
71,0,0,1,0,0,0,0,0,0,0,2,27,11.8,33.3,6.0,5.1,1,1,0,1,1,0.00,0.13,0.13,0.19,8,False,7,37,2025-26,Riccardo Calafiori,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,8,37,2025-26,Jurriën Timber,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,9,37,2025-26,Jakub Kiwior,1,3,True
17,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,0,1,0,0,0,0.00,0.00,0.00,0.00,1,False,10,37,2025-26,Myles Lewis-Skelly,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,11,37,2025-26,Benjamin White,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,12,37,2025-26,Oleksandr Zinchenko,16,14,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,13,37,2025-26,Brayden Clarke,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,14,37,2025-26,Maldini Kacurri,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,15,37,2025-26,Josh Nichols,1,3,True
90,0,1,1,0,0,0,0,0,0,0,2,27,24.4,18.7,24.0,6.7,2,6,5,13,1,0.20,0.29,0.49,0.19,10,False,16,37,2025-26,Bukayo Saka,1,3,True
90,0,0,1,0,0,0,0,0,0,0,0,10,6.8,18.7,7.0,3.3,0,3,0,3,1,0.21,0.09,0.30,0.19,3,False,17,37,2025-26,Martin Ødegaard,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,18,37,2025-26,Noni Madueke,1,3,True
1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,2.0,0.2,0,1,0,1,0,0.00,0.00,0.00,0.00,1,False,19,37,2025-26,Gabriel Martinelli Silva,1,3,True
90,0,0,1,0,0,0,0,0,0,0,0,12,0.8,14.3,7.0,2.2,0,4,0,4,1,0.08,0.11,0.18,0.19,3,False,20,37,2025-26,Leandro Trossard,1,3,True
90,0,0,1,0,0,0,0,0,0,0,0,19,24.6,6.3,4.0,3.5,4,7,5,16,1,0.00,0.04,0.04,0.19,5,False,21,37,2025-26,Declan Rice,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,22,37,2025-26,Mikel Merino Zazón,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,23,37,2025-26,Fábio Ferreira Vieira,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,24,37,2025-26,Christian Nørgaard,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,25,37,2025-26,Ethan Nwaneri,1,3,True
1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,False,26,37,2025-26,Martín Zubimendi Ibáñez,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,27,37,2025-26,Reiss Nelson,5,8,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,28,37,2025-26,Ismeal Kabia,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,29,37,2025-26,Albert Sambi Lokonga,1,3,True
72,1,0,1,0,0,0,0,1,0,0,3,34,35.4,36.2,54.0,12.6,0,2,0,2,1,0.39,0.33,0.72,0.19,8,False,30,37,2025-26,Kai Havertz,1,3,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,31,37,2025-26,Gabriel Fernando de Jesus,1,3,True
90,0,0,0,2,0,0,0,0,0,3,0,7,20.6,0.0,0.0,2.1,1,7,0,0,1,0.00,0.01,0.01,1.43,2,False,32,37,2025-26,Emiliano Martínez Romero,2,12,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,33,37,2025-26,Marco Bizot,2,12,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,34,37,2025-26,Joe Gauci,2,12,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,35,37,2025-26,Filip Marschall,2,12,True
90,0,0,0,2,0,0,0,1,0,0,0,3,16.6,12.4,2.0,3.1,5,3,2,7,1,0.01,0.01,0.02,1.43,0,False,36,37,2025-26,Matty Cash,2,12,True
90,0,1,0,2,0,0,0,0,0,0,0,9,23.4,16.3,4.0,4.4,5,2,1,6,1,0.04,0.06,0.10,1.43,4,False,37,37,2025-26,Lucas Digne,2,12,True
90,0,0,0,2,0,0,0,0,0,0,0,9,13.6,0.9,0.0,1.5,6,4,0,6,1,0.00,0.01,0.01,1.43,1,False,38,37,2025-26,Ezri Konsa Ngoyo,2,12,True
5,0,0,0,1,0,0,0,0,0,0,0,-1,1.0,0.0,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.27,1,False,39,37,2025-26,Ian Maatsen,2,12,True
