element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,1,0,0,0,6,2.8,0.1,0.0,0.3,10,2025-26,David Raya Martín,1,3,False
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2025-26,Kepa Arrizabalaga Revuelta,1,3,False
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2025-26,Karl Hein,1,3,False
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2025-26,Tommy Setford,1,3,False
5,90,0,1,1,0,1,0,12,36.0,11.3,4.0,5.1,10,2025-26,Gabriel dos Santos Magalhães,1,3,False
6,90,0,0,1,0,0,0,6,19.2,6.1,0.0,2.5,10,2025-26,William Saliba,1,3,False
7,71,0,0,1,0,0,0,6,16.0,3.3,17.0,3.6,10,2025-26,Riccardo Calafiori,1,3,False
8,90,0,0,1,0,0,0,6,5.4,1.2,17.0,2.4,10,2025-26,Jurriën Timber,1,3,False
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2025-26,Jakub Kiwior,1,3,False
10,1,0,0,0,0,0,0,1,2.0,0.0,0.0,0.2,10,2025-26,Myles Lewis-Skelly,1,3,False
11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2025-26,Benjamin White,1,3,False
12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2025-26,Oleksandr Zinchenko,16,14,True
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2025-26,Brayden Clarke,1,3,False
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2025-26,Maldini Kacurri,1,3,False
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2025-26,Josh Nichols,1,3,False
16,90,0,0,1,0,0,0,3,12.4,24.3,40.0,7.7,10,2025-26,Bukayo Saka,1,3,False
17,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2025-26,Martin Ødegaard,1,3,False
18,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2025-26,Noni Madueke,1,3,False
19,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2025-26,Gabriel Martinelli Silva,1,3,False
20,90,0,1,1,0,0,0,6,30.2,29.0,17.0,7.6,10,2025-26,Leandro Trossard,1,3,False
21,90,1,0,1,0,0,0,13,58.2,28.5,17.0,10.4,10,2025-26,Declan Rice,1,3,False
22,45,0,0,0,0,0,0,1,2.6,12.8,0.0,1.5,10,2025-26,Mikel Merino Zazón,1,3,False
23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2025-26,Fábio Ferreira Vieira,1,3,False
24,13,0,0,0,0,0,0,1,5.4,0.1,7.0,1.3,10,2025-26,Christian Nørgaard,1,3,False
25,18,0,0,0,0,0,0,1,0.2,0.4,3.0,0.4,10,2025-26,Ethan Nwaneri,1,3,False
