element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,1,0,0,0,7,16.6,0.0,0.0,1.7,17,2025-26,David Raya Martín,1,9,False
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Kepa Arrizabalaga Revuelta,1,9,False
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Karl Hein,1,9,False
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Tommy Setford,1,9,False
5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Gabriel dos Santos Magalhães,1,9,False
6,90,0,0,1,0,0,0,6,17.0,1.4,0.0,1.8,17,2025-26,William Saliba,1,9,False
7,90,0,0,1,0,0,0,6,16.0,4.5,0.0,2.1,17,2025-26,Riccardo Calafiori,1,9,False
8,90,0,0,1,0,0,0,6,9.0,13.3,21.0,4.3,17,2025-26,Jurriën Timber,1,9,False
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Jakub Kiwior,1,9,False
10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Myles Lewis-Skelly,1,9,False
11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Benjamin White,1,9,False
12,9,0,0,0,0,0,0,1,2.4,0.8,0.0,0.3,17,2025-26,Oleksandr Zinchenko,16,10,False
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Brayden Clarke,1,9,False
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Maldini Kacurri,1,9,False
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Josh Nichols,1,9,False
16,90,0,0,1,0,0,0,3,16.0,19.9,32.0,6.8,17,2025-26,Bukayo Saka,1,9,False
17,87,0,0,1,0,0,0,3,12.0,56.8,4.0,7.3,17,2025-26,Martin Ødegaard,1,9,False
18,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Noni Madueke,1,9,False
19,10,0,0,0,0,1,0,0,0.0,0.7,8.0,0.9,17,2025-26,Gabriel Martinelli Silva,1,9,False
20,79,0,0,1,0,0,0,3,2.0,10.0,8.0,2.0,17,2025-26,Leandro Trossard,1,9,False
21,90,0,1,1,0,0,0,11,24.0,29.8,3.0,5.7,17,2025-26,Declan Rice,1,9,False
22,2,0,0,0,0,0,0,1,0.0,0.1,0.0,0.0,17,2025-26,Mikel Merino Zazón,1,9,False
23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Fábio Ferreira Vieira,1,9,False
24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Christian Nørgaard,1,9,False
25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Ethan Nwaneri,1,9,False
26,90,0,0,1,0,0,0,3,8.8,7.4,10.0,2.6,17,2025-26,Martín Zubimendi Ibáñez,1,9,False
27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Reiss Nelson,5,20,False
28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Ismeal Kabia,1,9,False
29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Albert Sambi Lokonga,1,9,False
30,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Kai Havertz,1,9,False
31,25,0,0,0,0,0,0,1,0.0,4.3,8.0,1.2,17,2025-26,Gabriel Fernando de Jesus,1,9,False
32,90,0,0,0,1,0,0,3,29.0,0.0,0.0,2.9,17,2025-26,Emiliano Martínez Romero,2,14,True
33,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Marco Bizot,2,14,True
34,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Joe Gauci,2,14,True
35,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Filip Marschall,2,14,True
36,90,0,0,0,1,0,0,2,6.6,1.1,5.0,1.3,17,2025-26,Matty Cash,2,14,True
37,15,0,0,0,0,0,0,1,4.8,0.3,0.0,0.5,17,2025-26,Lucas Digne,2,14,True
38,90,0,0,0,1,0,0,2,14.2,0.4,0.0,1.5,17,2025-26,Ezri Konsa Ngoyo,2,14,True
39,74,0,0,0,1,0,0,2,15.0,20.6,8.0,4.4,17,2025-26,Ian Maatsen,2,14,True
40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Tyrone Mings,2,14,True
41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Pau Torres,2,14,True
42,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Andrés García,2,14,True
43,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Álex Moreno Lopera,2,14,True
44,2,0,0,0,0,1,0,0,0.0,0.1,0.0,0.0,17,2025-26,Lamare Bogarde,2,14,True
45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Lino da Cruz Sousa,2,14,True
46,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Yasin Özcan,2,14,True
47,90,2,0,0,1,0,0,15,71.6,1.8,59.0,13.2,17,2025-26,Morgan Rogers,2,14,True
48,90,0,0,0,1,0,0,2,13.4,25.8,1.0,4.0,17,2025-26,Youri Tielemans,2,14,True
49,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Leon Bailey,2,14,True
50,6,0,0,0,0,0,0,1,0.2,0.1,0.0,0.0,17,2025-26,Emiliano Buendía Stati,2,14,True
51,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Samuel Iling-Junior,2,14,True
52,88,0,0,0,2,0,0,2,2.2,4.9,4.0,1.1,17,2025-26,Jacob Ramsey,15,7,True
53,15,0,0,0,0,0,0,1,2.0,14.3,0.0,1.6,17,2025-26,Donyell Malen,2,14,True
54,83,0,1,0,1,0,0,5,26.0,35.8,19.0,8.1,17,2025-26,John McGinn,2,14,True
55,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Ross Barkley,2,14,True
56,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,2025-26,Enzo Barrenechea,2,14,True
