element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,1,0,0,0,6,4.6,0.0,0.0,0.5,8,2025-26,David Raya Martín,1,10,False
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Kepa Arrizabalaga Revuelta,1,10,False
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Karl Hein,1,10,False
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Tommy Setford,1,10,False
5,90,0,1,1,0,0,0,12,33.4,11.6,15.0,6.0,8,2025-26,Gabriel dos Santos Magalhães,1,10,False
6,90,0,0,1,0,0,0,6,17.4,2.8,2.0,2.2,8,2025-26,William Saliba,1,10,False
7,90,0,0,1,0,0,0,6,12.6,8.0,9.0,3.0,8,2025-26,Riccardo Calafiori,1,10,False
8,90,0,0,1,0,0,0,6,16.8,31.8,6.0,5.5,8,2025-26,Jurriën Timber,1,10,False
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Jakub Kiwior,1,10,False
10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Myles Lewis-Skelly,1,10,False
11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Benjamin White,1,10,False
12,73,0,0,0,2,0,0,1,18.2,15.1,0.0,3.3,8,2025-26,Oleksandr Zinchenko,16,7,True
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Brayden Clarke,1,10,False
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Maldini Kacurri,1,10,False
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Josh Nichols,1,10,False
16,90,0,0,1,0,0,0,7,28.8,80.3,44.0,15.3,8,2025-26,Bukayo Saka,1,10,False
17,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Martin Ødegaard,1,10,False
18,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Noni Madueke,1,10,False
19,9,0,0,0,0,0,0,1,3.2,0.5,41.0,4.5,8,2025-26,Gabriel Martinelli Silva,1,10,False
20,80,1,0,1,0,0,0,10,33.2,18.2,56.0,10.7,8,2025-26,Leandro Trossard,1,10,False
21,90,0,0,1,0,0,0,3,15.6,19.5,1.0,3.6,8,2025-26,Declan Rice,1,10,False
22,28,0,0,0,0,0,0,1,5.4,1.1,4.0,1.1,8,2025-26,Mikel Merino Zazón,1,10,False
23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Fábio Ferreira Vieira,1,10,False
24,1,0,0,0,0,0,0,1,1.0,0.0,0.0,0.1,8,2025-26,Christian Nørgaard,1,10,False
25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Ethan Nwaneri,1,10,False
26,90,0,0,1,0,0,0,3,11.2,15.6,2.0,2.9,8,2025-26,Martín Zubimendi Ibáñez,1,10,False
27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Reiss Nelson,5,19,False
28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Ismeal Kabia,1,10,False
29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Albert Sambi Lokonga,1,10,False
30,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Kai Havertz,1,10,False
31,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Gabriel Fernando de Jesus,1,10,False
32,90,0,0,0,1,0,0,2,16.4,0.0,0.0,1.6,8,2025-26,Emiliano Martínez Romero,2,18,False
33,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Marco Bizot,2,18,False
34,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Joe Gauci,2,18,False
35,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Filip Marschall,2,18,False
36,90,0,0,0,1,0,0,2,6.4,12.0,3.0,2.1,8,2025-26,Matty Cash,2,18,False
37,81,0,1,0,1,0,0,5,26.6,10.6,2.0,3.9,8,2025-26,Lucas Digne,2,18,False
38,90,0,0,0,1,0,0,2,17.8,4.1,2.0,2.4,8,2025-26,Ezri Konsa Ngoyo,2,18,False
39,8,0,0,0,0,0,0,1,7.4,10.2,1.0,1.9,8,2025-26,Ian Maatsen,2,18,False
40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Tyrone Mings,2,18,False
41,90,0,0,0,1,0,0,2,12.4,1.1,0.0,1.4,8,2025-26,Pau Torres,2,18,False
42,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Andrés García,2,18,False
43,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Álex Moreno Lopera,2,18,False
44,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Lamare Bogarde,2,18,False
45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Lino da Cruz Sousa,2,18,False
46,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Yasin Özcan,2,18,False
47,90,1,0,0,1,0,0,7,35.6,4.0,9.0,4.9,8,2025-26,Morgan Rogers,2,18,False
48,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Youri Tielemans,2,18,False
49,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Leon Bailey,2,18,False
50,29,1,0,0,0,0,0,7,38.8,1.1,7.0,4.7,8,2025-26,Emiliano Buendía Stati,2,18,False
51,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Samuel Iling-Junior,2,18,False
52,20,0,0,0,1,0,0,1,4.2,12.3,0.0,1.7,8,2025-26,Jacob Ramsey,15,6,False
53,60,0,0,0,1,0,0,2,0.0,0.2,6.0,0.2,8,2025-26,Donyell Malen,2,18,False
54,90,0,0,0,1,0,0,2,10.8,14.8,1.0,2.7,8,2025-26,John McGinn,2,18,False
55,8,0,0,0,0,0,0,1,2.4,1.3,0.0,0.4,8,2025-26,Ross Barkley,2,18,False
56,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Enzo Barrenechea,2,18,False
57,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Lewis Dobbin,2,18,False
58,90,0,0,0,1,0,0,2,17.0,4.9,0.0,2.2,8,2025-26,Boubacar Kamara,2,18,False
59,81,0,0,0,1,0,0,4,18.6,6.6,0.0,2.5,8,2025-26,Amadou Onana,2,18,False
60,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Ben Broggio,2,18,False
61,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Leander Dendoncker,2,18,False
62,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Jamaldeen Jimoh-Aloba,2,18,False
63,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Kadan Young,2,18,False
64,29,0,0,0,0,0,0,1,2.6,1.3,7.0,1.1,8,2025-26,Ollie Watkins,2,18,False
65,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Zépiqueno Redmond,2,18,False
66,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Norberto Murara Neto,4,8,False
67,90,0,0,0,3,0,0,2,31.6,0.0,0.0,3.2,8,2025-26,Đorđe Petrović,4,8,False
68,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Will Dennis,4,8,False
69,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Callan McKenna,4,8,False
70,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Alex Paulsen,4,8,False
71,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Illia Zabarnyi,4,8,False
72,90,0,0,0,3,1,0,2,45.2,0.3,9.0,5.5,8,2025-26,Marcos Senesi Barón,4,8,False
73,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Adam Smith,4,8,False
74,90,0,0,0,3,0,0,1,11.4,4.1,2.0,1.8,8,2025-26,Adrien Truffert,4,8,False
75,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Matai Akinmboni,4,8,False
76,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Owen Bevan,4,8,False
77,15,0,0,0,1,0,0,1,10.2,0.0,0.0,1.0,8,2025-26,James Hill,4,8,False
78,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Julián Araujo Zúñiga,4,8,False
79,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Chris Mepham,4,8,False
80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Julio Soler Barreto,4,8,False
81,75,0,0,0,2,0,0,2,5.0,22.8,2.0,3.0,8,2025-26,Justin Kluivert,4,8,False
82,90,0,1,0,3,1,0,4,6.6,3.0,27.0,3.7,8,2025-26,Antoine Semenyo,13,9,True
83,75,0,0,1,0,0,0,3,8.0,32.7,33.0,7.4,8,2025-26,Dango Ouattara,5,19,False
84,90,0,1,0,2,0,0,5,26.6,26.2,2.0,5.5,8,2025-26,Marcus Tavernier,4,8,False
85,90,0,0,0,3,1,0,3,18.8,3.4,1.0,2.3,8,2025-26,Tyler Adams,4,8,False
86,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,David Brooks,4,8,False
87,23,1,0,0,2,1,0,5,38.2,0.1,35.0,7.3,8,2025-26,Ryan Christie,4,8,False
88,1,0,0,0,1,0,0,1,3.2,0.3,0.0,0.4,8,2025-26,Lewis Cook,4,8,False
89,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Philip Billing,4,8,False
90,66,0,0,0,1,0,0,2,6.6,11.3,3.0,2.1,8,2025-26,Alex Scott,4,8,False
91,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Luis Sinisterra Lucumí,4,8,False
92,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Romain Faivre,4,8,False
93,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Hamed Traorè,4,8,False
94,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Dominic Sadi,4,8,False
95,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Zain Silcott-Duberry,4,8,False
96,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Ben Winterburn,4,8,False
97,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Francisco Evanilson de Lima Barbosa,4,8,False
98,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Enes Ünal,4,8,False
99,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Daniel Adu-Adjei,4,8,False
100,74,2,0,0,2,0,0,12,70.6,2.6,54.0,12.7,8,2025-26,Junior Kroupi,4,8,False
101,90,0,0,1,0,0,0,6,8.4,0.0,0.0,0.8,8,2025-26,Caoimhín Kelleher,5,19,False
102,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Ellery Balcombe,5,19,False
103,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Matthew Cox,5,19,False
104,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Julian Eyestone,5,19,False
105,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Hákon Rafn Valdimarsson,5,19,False
106,90,0,0,1,0,0,0,9,26.8,0.9,8.0,3.6,8,2025-26,Nathan Collins,5,19,False
107,14,0,1,0,0,0,0,4,17.0,10.3,1.0,2.8,8,2025-26,Keane Lewis-Potter,5,19,False
108,90,0,0,1,0,0,0,6,16.2,1.2,17.0,3.4,8,2025-26,Kristoffer Ajer,5,19,False
109,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Rico Henry,5,19,False
110,90,0,0,1,0,0,0,9,28.8,92.1,4.0,12.5,8,2025-26,Michael Kayode,5,19,False
111,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Ethan Pinnock,5,19,False
112,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Mads Roerslev Rasmussen,5,19,False
113,90,0,0,1,0,0,0,6,18.8,0.8,4.0,2.4,8,2025-26,Sepp van den Berg,5,19,False
114,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Benjamin Arthur,5,19,False
115,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Benjamin Fredrick,5,19,False
116,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Aaron Hickey,5,19,False
117,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Kim Ji-soo,5,19,False
118,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Jayden Meghoma,5,19,False
119,90,1,0,0,1,0,0,9,37.6,15.5,39.0,9.2,8,2025-26,Bryan Mbeumo,14,12,False
120,90,0,1,1,0,0,0,6,23.2,13.3,49.0,8.6,8,2025-26,Kevin Schade,5,19,False
121,74,0,0,1,0,0,0,3,13.8,68.0,23.0,10.5,8,2025-26,Mikkel Damsgaard,5,19,False
122,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Antoni Milambo,5,19,False
123,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Fábio Freitas Gouveia Carvalho,5,19,False
124,89,0,0,1,0,1,0,2,6.8,25.6,2.0,3.4,8,2025-26,Jordan Henderson,5,19,False
125,15,0,0,0,0,0,0,1,0.4,0.3,0.0,0.1,8,2025-26,Vitaly Janelt,5,19,False
126,1,1,0,0,0,0,0,6,33.0,0.0,17.0,5.0,8,2025-26,Mathias Jensen,5,19,False
127,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Gustavo Nunes Fernandes Gomes,5,19,False
128,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Frank Onyeka,5,19,False
129,90,0,0,1,0,0,0,3,22.8,39.2,0.0,6.2,8,2025-26,Yehor Yarmoliuk,5,19,False
130,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Romelle Donovan,5,19,False
131,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Yunus Emre Konak,5,19,False
132,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Paris Maghoma,5,19,False
133,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Myles Peart-Harris,5,19,False
134,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Ryan Trevitt,5,19,False
135,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,2025-26,Yoane Wissa,15,6,False
