element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,1,0,0,0,6,15.0,0.0,0.0,1.5,14,2025-26,David Raya Martín,1,5,True
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,2025-26,Kepa Arrizabalaga Revuelta,1,5,True
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,2025-26,Karl Hein,1,5,True
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,2025-26,Tommy Setford,1,5,True
5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,2025-26,Gabriel dos Santos Magalhães,1,5,True
6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,2025-26,William Saliba,1,5,True
7,90,0,0,1,0,0,0,7,24.8,4.4,26.0,5.5,14,2025-26,Riccardo Calafiori,1,5,True
8,46,0,0,0,0,0,0,1,7.0,0.3,0.0,0.7,14,2025-26,Jurriën Timber,1,5,True
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,2025-26,Jakub Kiwior,1,5,True
10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,2025-26,Myles Lewis-Skelly,1,5,True
11,90,0,1,1,0,0,0,14,49.8,29.5,8.0,8.7,14,2025-26,Benjamin White,1,5,True
12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,2025-26,Oleksandr Zinchenko,16,20,False
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,2025-26,Brayden Clarke,1,5,True
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,2025-26,Maldini Kacurri,1,5,True
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,2025-26,Josh Nichols,1,5,True
16,29,1,0,0,0,0,0,6,38.0,1.8,34.0,7.4,14,2025-26,Bukayo Saka,1,5,True
17,90,0,0,1,0,0,0,3,18.0,50.0,6.0,7.4,14,2025-26,Martin Ødegaard,1,5,True
18,60,0,0,1,0,0,0,3,10.0,3.7,40.0,5.4,14,2025-26,Noni Madueke,1,5,True
