element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,1,0,0,0,7,21.6,10.1,0.0,3.2,25,2025-26,David Raya Martín,1,17,True
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Kepa Arrizabalaga Revuelta,1,17,True
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Karl Hein,1,17,True
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Tommy Setford,1,17,True
5,90,0,0,1,0,0,0,6,17.2,1.7,0.0,1.9,25,2025-26,Gabriel dos Santos Magalhães,1,17,True
6,90,0,0,1,0,1,0,7,20.4,6.4,0.0,2.7,25,2025-26,William Saliba,1,17,True
7,66,0,0,1,0,0,0,6,4.8,2.3,4.0,1.1,25,2025-26,Riccardo Calafiori,1,17,True
8,90,0,0,1,0,0,0,6,11.6,3.2,2.0,1.7,25,2025-26,Jurriën Timber,1,17,True
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Jakub Kiwior,1,17,True
10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Myles Lewis-Skelly,1,17,True
11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Benjamin White,1,17,True
12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Oleksandr Zinchenko,16,11,False
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Brayden Clarke,1,17,True
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Maldini Kacurri,1,17,True
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Josh Nichols,1,17,True
16,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Bukayo Saka,1,17,True
17,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Martin Ødegaard,1,17,True
18,59,0,0,0,0,0,0,1,3.8,1.6,13.0,1.8,25,2025-26,Noni Madueke,1,17,True
19,30,0,1,0,0,0,0,4,26.2,13.5,25.0,6.5,25,2025-26,Gabriel Martinelli Silva,1,17,True
20,88,0,1,1,0,0,0,6,34.8,49.7,20.0,10.5,25,2025-26,Leandro Trossard,1,17,True
21,90,0,0,1,0,0,0,5,16.4,36.2,3.0,5.6,25,2025-26,Declan Rice,1,17,True
22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Mikel Merino Zazón,1,17,True
23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Fábio Ferreira Vieira,1,17,True
24,1,0,0,0,0,0,0,1,1.0,0.0,0.0,0.1,25,2025-26,Christian Nørgaard,1,17,True
25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Ethan Nwaneri,1,17,True
26,90,1,0,1,0,0,0,10,41.4,5.7,9.0,5.6,25,2025-26,Martín Zubimendi Ibáñez,1,17,True
27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Reiss Nelson,5,15,False
28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Ismeal Kabia,1,17,True
29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Albert Sambi Lokonga,1,17,True
30,66,0,1,1,0,0,0,5,21.6,21.1,18.0,6.1,25,2025-26,Kai Havertz,1,17,True
31,59,0,0,0,0,0,0,1,2.2,1.0,19.0,2.2,25,2025-26,Gabriel Fernando de Jesus,1,17,True
32,90,0,0,0,1,0,0,6,49.4,0.0,0.0,4.9,25,2025-26,Emiliano Martínez Romero,2,4,False
33,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Marco Bizot,2,4,False
34,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Joe Gauci,2,4,False
35,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Filip Marschall,2,4,False
36,90,0,0,0,1,0,0,2,13.0,0.9,21.0,3.5,25,2025-26,Matty Cash,2,4,False
37,85,0,0,0,1,0,0,4,17.6,6.1,0.0,2.4,25,2025-26,Lucas Digne,2,4,False
38,90,0,0,0,1,0,0,2,18.2,0.4,0.0,1.9,25,2025-26,Ezri Konsa Ngoyo,2,4,False
39,13,0,0,0,0,0,0,1,0.0,0.3,4.0,0.4,25,2025-26,Ian Maatsen,2,4,False
40,90,0,0,0,1,0,0,2,19.2,1.0,10.0,3.0,25,2025-26,Tyrone Mings,2,4,False
41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Pau Torres,2,4,False
42,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Andrés García,2,4,False
43,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25,2025-26,Álex Moreno Lopera,2,4,False
44,4,0,0,0,0,0,0,1,2.2,0.8,0.0,0.3,25,2025-26,Lamare Bogarde,2,4,False
