element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,0,1,0,0,2,15.8,0.0,0.0,1.6,6,2025-26,David Raya Martín,1,15,False
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Kepa Arrizabalaga Revuelta,1,15,False
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Karl Hein,1,15,False
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Tommy Setford,1,15,False
5,90,1,0,0,1,0,0,13,76.8,2.5,33.0,11.2,6,2025-26,Gabriel dos Santos Magalhães,1,15,False
6,45,0,0,0,0,0,0,1,5.4,11.8,2.0,1.9,6,2025-26,William Saliba,1,15,False
7,69,0,0,0,1,1,0,1,3.6,16.8,10.0,3.0,6,2025-26,Riccardo Calafiori,1,15,False
8,90,0,0,0,1,0,0,2,24.6,38.2,25.0,8.8,6,2025-26,Jurriën Timber,1,15,False
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Jakub Kiwior,1,15,False
10,2,0,0,0,0,0,0,1,0.0,0.9,2.0,0.2,6,2025-26,Myles Lewis-Skelly,1,15,False
11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Benjamin White,1,15,False
12,90,0,0,0,1,0,0,2,14.8,19.3,0.0,3.4,6,2025-26,Oleksandr Zinchenko,16,17,True
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Brayden Clarke,1,15,False
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Maldini Kacurri,1,15,False
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Josh Nichols,1,15,False
16,69,0,0,0,1,0,0,2,4.4,11.4,30.0,4.6,6,2025-26,Bukayo Saka,1,15,False
17,8,0,1,0,0,0,0,4,19.0,16.4,0.0,3.5,6,2025-26,Martin Ødegaard,1,15,False
18,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Noni Madueke,1,15,False
19,20,0,0,0,0,0,0,1,2.2,0.5,4.0,0.7,6,2025-26,Gabriel Martinelli Silva,1,15,False
20,87,0,0,0,1,0,0,2,2.4,17.0,12.0,3.1,6,2025-26,Leandro Trossard,1,15,False
21,90,0,1,0,1,0,0,9,47.6,53.7,4.0,10.5,6,2025-26,Declan Rice,1,15,False
22,20,1,0,0,0,0,0,6,35.2,0.1,19.0,5.4,6,2025-26,Mikel Merino Zazón,1,15,False
23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Fábio Ferreira Vieira,1,15,False
24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Christian Nørgaard,1,15,False
25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Ethan Nwaneri,1,15,False
26,81,0,0,0,1,0,0,2,17.8,31.9,0.0,5.0,6,2025-26,Martín Zubimendi Ibáñez,1,15,False
27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Reiss Nelson,5,14,True
28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Ismeal Kabia,1,15,False
29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Albert Sambi Lokonga,1,15,False
30,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Kai Havertz,1,15,False
31,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Gabriel Fernando de Jesus,1,15,False
32,90,0,0,0,1,0,0,3,23.0,3.0,0.0,2.6,6,2025-26,Emiliano Martínez Romero,2,10,True
33,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Marco Bizot,2,10,True
34,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Joe Gauci,2,10,True
35,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Filip Marschall,2,10,True
36,90,0,0,0,1,0,0,2,18.0,1.5,1.0,2.1,6,2025-26,Matty Cash,2,10,True
37,90,0,1,0,1,0,0,5,28.2,15.2,11.0,5.4,6,2025-26,Lucas Digne,2,10,True
38,90,0,0,0,1,0,0,2,22.4,0.7,0.0,2.3,6,2025-26,Ezri Konsa Ngoyo,2,10,True
39,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Ian Maatsen,2,10,True
40,31,0,0,0,1,0,0,1,2.8,0.4,0.0,0.3,6,2025-26,Tyrone Mings,2,10,True
41,58,0,0,0,0,0,0,1,12.6,0.5,0.0,1.3,6,2025-26,Pau Torres,2,10,True
42,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Andrés García,2,10,True
43,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Álex Moreno Lopera,2,10,True
44,81,0,0,0,1,0,0,2,3.2,12.8,0.0,1.6,6,2025-26,Lamare Bogarde,2,10,True
45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Lino da Cruz Sousa,2,10,True
46,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Yasin Özcan,2,10,True
47,90,0,1,0,1,0,0,5,26.8,30.9,6.0,6.4,6,2025-26,Morgan Rogers,2,10,True
48,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Youri Tielemans,2,10,True
49,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Leon Bailey,2,10,True
50,45,1,1,0,0,0,0,12,51.0,14.3,34.0,9.9,6,2025-26,Emiliano Buendía Stati,2,10,True
51,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Samuel Iling-Junior,2,10,True
52,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Jacob Ramsey,15,1,True
53,7,0,0,0,0,0,0,1,2.0,0.0,0.0,0.2,6,2025-26,Donyell Malen,2,10,True
54,71,1,0,0,1,1,0,6,36.0,18.5,13.0,6.8,6,2025-26,John McGinn,2,10,True
55,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Ross Barkley,2,10,True
56,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Enzo Barrenechea,2,10,True
57,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Lewis Dobbin,2,10,True
58,18,0,0,0,0,0,0,1,7.6,0.7,0.0,0.8,6,2025-26,Boubacar Kamara,2,10,True
59,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Amadou Onana,2,10,True
60,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Ben Broggio,2,10,True
61,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Leander Dendoncker,2,10,True
62,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Jamaldeen Jimoh-Aloba,2,10,True
63,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Kadan Young,2,10,True
64,90,1,0,0,1,0,0,8,37.4,4.3,27.0,6.9,6,2025-26,Ollie Watkins,2,10,True
65,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Zépiqueno Redmond,2,10,True
66,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Norberto Murara Neto,4,11,False
67,90,0,0,0,2,0,0,3,47.0,0.0,0.0,4.7,6,2025-26,Đorđe Petrović,4,11,False
68,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Will Dennis,4,11,False
69,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Callan McKenna,4,11,False
70,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Alex Paulsen,4,11,False
71,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Illia Zabarnyi,4,11,False
72,90,0,1,0,2,0,0,7,57.8,16.9,4.0,7.9,6,2025-26,Marcos Senesi Barón,4,11,False
73,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Adam Smith,4,11,False
74,90,0,0,0,2,0,0,3,29.0,5.0,2.0,3.6,6,2025-26,Adrien Truffert,4,11,False
75,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Matai Akinmboni,4,11,False
76,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Owen Bevan,4,11,False
77,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,James Hill,4,11,False
78,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Julián Araujo Zúñiga,4,11,False
79,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Chris Mepham,4,11,False
80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Julio Soler Barreto,4,11,False
81,59,0,0,0,2,0,0,1,4.6,16.5,2.0,2.3,6,2025-26,Justin Kluivert,4,11,False
82,90,1,0,0,2,0,0,7,42.4,16.6,9.0,6.8,6,2025-26,Antoine Semenyo,13,3,True
83,74,0,0,0,1,0,0,2,3.6,11.1,27.0,4.2,6,2025-26,Dango Ouattara,5,14,True
84,30,0,0,0,0,0,0,1,4.0,12.2,4.0,2.0,6,2025-26,Marcus Tavernier,4,11,False
85,80,0,0,0,2,0,0,2,13.2,3.3,2.0,1.9,6,2025-26,Tyler Adams,4,11,False
86,30,0,0,0,0,0,0,1,4.8,6.8,18.0,3.0,6,2025-26,David Brooks,4,11,False
87,59,0,1,0,2,0,0,4,0.0,4.4,5.0,0.9,6,2025-26,Ryan Christie,4,11,False
88,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Lewis Cook,4,11,False
89,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Philip Billing,4,11,False
90,30,0,0,0,0,0,0,1,3.8,6.3,0.0,1.0,6,2025-26,Alex Scott,4,11,False
91,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Luis Sinisterra Lucumí,4,11,False
92,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Romain Faivre,4,11,False
93,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Hamed Traorè,4,11,False
94,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Dominic Sadi,4,11,False
95,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Zain Silcott-Duberry,4,11,False
96,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Ben Winterburn,4,11,False
97,90,0,0,0,2,0,0,2,0.8,12.8,8.0,2.2,6,2025-26,Francisco Evanilson de Lima Barbosa,4,11,False
98,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Enes Ünal,4,11,False
99,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Daniel Adu-Adjei,4,11,False
100,9,1,0,0,0,1,0,6,35.0,0.6,38.0,7.4,6,2025-26,Junior Kroupi,4,11,False
101,90,0,0,0,1,0,0,8,56.4,10.0,0.0,6.6,6,2025-26,Caoimhín Kelleher,5,14,True
102,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Ellery Balcombe,5,14,True
103,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Matthew Cox,5,14,True
104,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Julian Eyestone,5,14,True
105,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Hákon Rafn Valdimarsson,5,14,True
106,90,0,0,0,1,1,0,1,20.6,10.9,21.0,5.3,6,2025-26,Nathan Collins,5,14,True
107,15,0,0,0,0,0,0,1,5.2,0.3,0.0,0.6,6,2025-26,Keane Lewis-Potter,5,14,True
108,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2025-26,Kristoffer Ajer,5,14,True
