element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,0,1,0,0,2,21.8,10.0,0.0,3.2,18,2025-26,David Raya Martín,1,6,True
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Kepa Arrizabalaga Revuelta,1,6,True
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Karl Hein,1,6,True
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Tommy Setford,1,6,True
5,19,0,0,0,0,0,0,1,0.0,0.2,4.0,0.3,18,2025-26,Gabriel dos Santos Magalhães,1,6,True
6,90,0,0,0,1,0,0,2,10.4,0.8,2.0,1.3,18,2025-26,William Saliba,1,6,True
7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Riccardo Calafiori,1,6,True
8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Jurriën Timber,1,6,True
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Jakub Kiwior,1,6,True
10,70,0,0,0,1,1,0,1,7.4,2.1,4.0,1.4,18,2025-26,Myles Lewis-Skelly,1,6,True
11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Benjamin White,1,6,True
12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Oleksandr Zinchenko,16,13,True
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Brayden Clarke,1,6,True
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Maldini Kacurri,1,6,True
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Josh Nichols,1,6,True
16,90,0,1,0,1,0,0,7,36.2,52.3,75.0,16.4,18,2025-26,Bukayo Saka,1,6,True
17,90,1,0,0,1,0,0,10,54.4,64.3,14.0,13.3,18,2025-26,Martin Ødegaard,1,6,True
18,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Noni Madueke,1,6,True
19,8,0,0,0,0,0,0,1,3.6,10.8,6.0,2.0,18,2025-26,Gabriel Martinelli Silva,1,6,True
20,81,0,0,0,1,0,0,2,8.0,46.5,30.0,8.5,18,2025-26,Leandro Trossard,1,6,True
21,90,0,1,0,1,0,0,5,13.4,23.2,16.0,5.3,18,2025-26,Declan Rice,1,6,True
22,90,0,0,0,1,0,0,2,8.0,14.9,9.0,3.2,18,2025-26,Mikel Merino Zazón,1,6,True
23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Fábio Ferreira Vieira,1,6,True
24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Christian Nørgaard,1,6,True
25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Ethan Nwaneri,1,6,True
26,90,0,0,0,1,0,0,2,28.8,16.9,23.0,6.9,18,2025-26,Martín Zubimendi Ibáñez,1,6,True
27,1,0,0,0,0,0,0,1,0.0,0.0,3.0,0.3,18,2025-26,Reiss Nelson,5,4,True
28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Ismeal Kabia,1,6,True
29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Albert Sambi Lokonga,1,6,True
30,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Kai Havertz,1,6,True
31,19,0,0,0,0,0,0,1,2.8,1.3,20.0,2.4,18,2025-26,Gabriel Fernando de Jesus,1,6,True
32,90,0,0,0,1,0,0,2,17.6,0.0,0.0,1.8,18,2025-26,Emiliano Martínez Romero,2,7,False
33,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Marco Bizot,2,7,False
34,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Joe Gauci,2,7,False
35,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Filip Marschall,2,7,False
36,90,0,0,0,1,1,0,1,11.6,10.8,2.0,2.4,18,2025-26,Matty Cash,2,7,False
37,7,0,0,0,0,0,0,1,3.0,0.0,7.0,1.0,18,2025-26,Lucas Digne,2,7,False
38,90,0,0,0,1,0,0,4,23.8,0.2,0.0,2.4,18,2025-26,Ezri Konsa Ngoyo,2,7,False
39,82,0,0,0,1,0,0,2,10.0,0.6,17.0,2.8,18,2025-26,Ian Maatsen,2,7,False
40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Tyrone Mings,2,7,False
41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Pau Torres,2,7,False
42,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Andrés García,2,7,False
43,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Álex Moreno Lopera,2,7,False
44,7,0,0,0,0,0,0,1,5.0,0.1,0.0,0.5,18,2025-26,Lamare Bogarde,2,7,False
45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Lino da Cruz Sousa,2,7,False
46,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Yasin Özcan,2,7,False
47,90,0,0,0,1,1,0,1,7.2,40.4,7.0,5.5,18,2025-26,Morgan Rogers,2,7,False
48,90,0,1,0,1,0,0,7,39.0,27.3,6.0,7.2,18,2025-26,Youri Tielemans,2,7,False
49,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Leon Bailey,2,7,False
50,58,0,0,0,1,0,0,3,3.8,11.8,4.0,2.0,18,2025-26,Emiliano Buendía Stati,2,7,False
51,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Samuel Iling-Junior,2,7,False
52,67,0,0,0,1,0,0,2,8.4,7.3,8.0,2.4,18,2025-26,Jacob Ramsey,15,14,False
53,58,0,0,0,1,0,0,1,0.0,0.3,0.0,0.0,18,2025-26,Donyell Malen,2,7,False
54,58,0,0,0,1,0,0,1,0.0,0.3,0.0,0.0,18,2025-26,John McGinn,2,7,False
55,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Ross Barkley,2,7,False
56,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Enzo Barrenechea,2,7,False
57,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Lewis Dobbin,2,7,False
58,82,0,0,0,1,1,0,1,10.6,2.5,17.0,3.0,18,2025-26,Boubacar Kamara,2,7,False
59,31,0,0,0,0,0,0,1,4.2,0.4,0.0,0.5,18,2025-26,Amadou Onana,2,7,False
60,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Ben Broggio,2,7,False
61,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Leander Dendoncker,2,7,False
62,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Jamaldeen Jimoh-Aloba,2,7,False
63,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Kadan Young,2,7,False
64,32,2,0,0,0,0,0,12,74.0,3.7,76.0,15.4,18,2025-26,Ollie Watkins,2,7,False
65,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Zépiqueno Redmond,2,7,False
66,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Norberto Murara Neto,4,5,False
67,90,0,0,0,4,0,0,-1,17.0,0.0,0.0,1.7,18,2025-26,Đorđe Petrović,4,5,False
68,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Will Dennis,4,5,False
69,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Callan McKenna,4,5,False
70,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Alex Paulsen,4,5,False
71,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Illia Zabarnyi,4,5,False
72,90,0,0,0,4,0,0,2,30.6,1.3,27.0,5.9,18,2025-26,Marcos Senesi Barón,4,5,False
73,45,0,0,0,2,0,0,0,2.6,0.0,4.0,0.7,18,2025-26,Adam Smith,4,5,False
74,76,0,0,0,3,0,0,1,7.4,12.5,0.0,2.0,18,2025-26,Adrien Truffert,4,5,False
75,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Matai Akinmboni,4,5,False
76,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Owen Bevan,4,5,False
77,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,James Hill,4,5,False
78,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Julián Araujo Zúñiga,4,5,False
79,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Chris Mepham,4,5,False
80,13,0,0,0,1,0,0,1,1.2,0.7,0.0,0.2,18,2025-26,Julio Soler Barreto,4,5,False
81,45,0,0,0,2,1,0,0,6.6,36.3,22.0,6.5,18,2025-26,Justin Kluivert,4,5,False
82,90,1,0,0,4,0,0,9,52.2,15.0,77.0,14.4,18,2025-26,Antoine Semenyo,13,16,False
83,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Dango Ouattara,5,4,True
84,90,0,0,0,4,1,0,1,18.2,22.2,21.0,6.1,18,2025-26,Marcus Tavernier,4,5,False
85,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Tyler Adams,4,5,False
86,45,0,0,0,2,0,0,1,22.0,36.6,47.0,10.6,18,2025-26,David Brooks,4,5,False
87,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Ryan Christie,4,5,False
88,90,0,0,0,4,0,0,4,19.8,2.5,2.0,2.4,18,2025-26,Lewis Cook,4,5,False
89,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Philip Billing,4,5,False
90,83,0,0,0,3,0,0,5,22.0,32.3,11.0,6.5,18,2025-26,Alex Scott,4,5,False
91,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Luis Sinisterra Lucumí,4,5,False
92,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Romain Faivre,4,5,False
93,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Hamed Traorè,4,5,False
94,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Dominic Sadi,4,5,False
95,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Zain Silcott-Duberry,4,5,False
96,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Ben Winterburn,4,5,False
97,45,0,0,0,2,0,0,1,1.0,0.8,10.0,1.2,18,2025-26,Francisco Evanilson de Lima Barbosa,4,5,False
98,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Enes Ünal,4,5,False
99,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Daniel Adu-Adjei,4,5,False
100,45,0,0,0,2,0,0,1,3.4,1.1,0.0,0.5,18,2025-26,Junior Kroupi,4,5,False
101,90,0,0,0,1,0,0,4,49.8,0.0,0.0,5.0,18,2025-26,Caoimhín Kelleher,5,4,True
102,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Ellery Balcombe,5,4,True
103,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Matthew Cox,5,4,True
104,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Julian Eyestone,5,4,True
105,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Hákon Rafn Valdimarsson,5,4,True
106,90,0,0,0,1,0,0,4,39.8,0.8,0.0,4.1,18,2025-26,Nathan Collins,5,4,True
107,88,0,0,0,1,0,0,2,9.2,22.7,8.0,4.0,18,2025-26,Keane Lewis-Potter,5,4,True
108,90,0,0,0,1,0,0,4,39.6,0.8,11.0,5.1,18,2025-26,Kristoffer Ajer,5,4,True
109,76,0,0,0,1,0,0,2,1.8,0.5,2.0,0.4,18,2025-26,Rico Henry,5,4,True
110,90,0,0,0,1,1,0,3,26.8,11.0,5.0,4.3,18,2025-26,Michael Kayode,5,4,True
111,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Ethan Pinnock,5,4,True
112,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Mads Roerslev Rasmussen,5,4,True
113,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Sepp van den Berg,5,4,True
114,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Benjamin Arthur,5,4,True
115,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Benjamin Fredrick,5,4,True
116,13,0,0,0,0,0,0,1,1.2,0.2,0.0,0.1,18,2025-26,Aaron Hickey,5,4,True
117,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Kim Ji-soo,5,4,True
118,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Jayden Meghoma,5,4,True
119,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Bryan Mbeumo,14,15,True
120,90,3,0,0,1,0,0,20,114.8,3.8,98.0,21.7,18,2025-26,Kevin Schade,5,4,True
121,13,0,1,0,0,0,0,4,24.8,31.8,6.0,6.3,18,2025-26,Mikkel Damsgaard,5,4,True
122,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Antoni Milambo,5,4,True
123,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Fábio Freitas Gouveia Carvalho,5,4,True
124,1,0,0,0,0,0,0,1,0.6,0.5,0.0,0.1,18,2025-26,Jordan Henderson,5,4,True
125,90,0,0,0,1,0,0,4,21.8,23.6,9.0,5.4,18,2025-26,Vitaly Janelt,5,4,True
126,76,0,0,0,1,1,0,1,8.6,3.7,8.0,2.0,18,2025-26,Mathias Jensen,5,4,True
127,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Gustavo Nunes Fernandes Gomes,5,4,True
128,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Frank Onyeka,5,4,True
129,88,0,1,0,1,0,0,5,31.6,24.2,8.0,6.4,18,2025-26,Yehor Yarmoliuk,5,4,True
130,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Romelle Donovan,5,4,True
131,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Yunus Emre Konak,5,4,True
132,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Paris Maghoma,5,4,True
133,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Myles Peart-Harris,5,4,True
134,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Ryan Trevitt,5,4,True
135,22,0,0,0,0,0,0,1,0.2,10.3,8.0,1.9,18,2025-26,Yoane Wissa,15,14,False
136,90,0,1,0,1,0,0,5,27.8,28.1,25.0,8.1,18,2025-26,Igor Thiago Nascimento Rodrigues,5,4,True
137,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Iwan Morgan,5,4,True
138,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Jason Steele,6,1,False
139,90,0,0,0,2,1,0,1,37.2,0.0,0.0,3.7,18,2025-26,Bart Verbruggen,6,1,False
140,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Tom McGill,6,1,False
141,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Carl Rushworth,6,1,False
142,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Kjell Scherpen,6,1,False
143,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Olivier Boscagli,6,1,False
144,86,0,0,0,2,1,0,0,6.0,1.0,2.0,0.9,18,2025-26,Diego Coppola,6,1,False
145,45,0,0,0,1,0,0,1,0.0,0.8,0.0,0.0,18,2025-26,Maxim De Cuyper,6,1,False
146,90,0,0,0,2,1,0,0,25.0,5.8,0.0,3.1,18,2025-26,Lewis Dunk,6,1,False
147,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Pervis Estupiñán Tenorio,6,1,False
148,90,0,0,0,2,0,0,1,7.2,16.3,2.0,2.6,18,2025-26,Ferdi Kadıoğlu,6,1,False
149,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Igor Julio dos Santos de Paulo,6,1,False
150,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Tariq Lamptey,6,1,False
151,90,0,0,0,2,0,0,3,46.2,1.2,0.0,4.7,18,2025-26,Jan Paul van Hecke,6,1,False
152,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Joël Veltman,6,1,False
153,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Adam Webster,6,1,False
154,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Eiran Cashin,6,1,False
155,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Jacob Slater,6,1,False
156,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,2025-26,Charlie Tasker,6,1,False
