minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,element,Gameweek,season,name,team,opponent_team,was_home
90,0,0,1,0,0,0,0,0,0,0,0,23,6.2,0.0,0.0,0.6,2,7,1,0,1,0.00,0.00,0.00,0.34,6,False,1,22,2025-26,David Raya Martín,1,16,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,2,22,2025-26,Kepa Arrizabalaga Revuelta,1,16,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,3,22,2025-26,Karl Hein,1,16,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,4,22,2025-26,Tommy Setford,1,16,False
90,0,0,1,0,0,0,0,0,0,0,2,28,19.6,1.6,5.0,2.6,6,1,1,7,1,0.14,0.01,0.15,0.34,8,False,5,22,2025-26,Gabriel dos Santos Magalhães,1,16,False
90,0,0,1,0,0,0,0,0,0,0,2,28,17.6,11.0,8.0,3.7,3,8,2,5,1,0.09,0.02,0.11,0.34,8,False,6,22,2025-26,William Saliba,1,16,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,7,22,2025-26,Riccardo Calafiori,1,16,False
90,0,0,1,0,0,0,0,1,0,0,0,17,0.4,2.2,6.0,0.9,2,1,0,2,1,0.10,0.02,0.12,0.34,5,False,8,22,2025-26,Jurriën Timber,1,16,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,9,22,2025-26,Jakub Kiwior,1,16,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,10,22,2025-26,Myles Lewis-Skelly,1,16,False
90,0,0,1,0,0,0,0,0,0,0,0,21,8.6,14.6,10.0,3.3,3,2,1,4,1,0.06,0.04,0.10,0.34,6,False,11,22,2025-26,Benjamin White,1,16,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,12,22,2025-26,Oleksandr Zinchenko,16,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,13,22,2025-26,Brayden Clarke,1,16,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,14,22,2025-26,Maldini Kacurri,1,16,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,15,22,2025-26,Josh Nichols,1,16,False
33,0,0,0,0,0,0,0,0,0,0,0,12,18.8,48.8,21.0,8.9,0,2,1,3,0,0.13,0.38,0.51,0.10,1,False,16,22,2025-26,Bukayo Saka,1,16,False
56,0,0,0,0,0,0,0,0,0,0,0,4,4.6,12.2,0.0,1.7,1,1,0,2,1,0.00,0.46,0.46,0.24,1,False,17,22,2025-26,Martin Ødegaard,1,16,False
56,0,0,0,0,0,0,0,0,0,0,0,9,14.2,30.9,20.0,6.5,2,1,1,4,1,0.06,0.22,0.28,0.24,1,False,18,22,2025-26,Noni Madueke,1,16,False
45,0,0,0,0,0,0,0,0,0,0,0,3,8.4,5.4,35.0,4.9,2,3,2,7,1,0.58,0.05,0.63,0.20,1,False,19,22,2025-26,Gabriel Martinelli Silva,1,16,False
45,0,0,0,0,0,0,0,0,0,0,0,4,2.0,2.1,0.0,0.4,1,0,0,1,0,0.00,0.01,0.01,0.14,1,False,20,22,2025-26,Leandro Trossard,1,16,False
