minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,element,Gameweek,season,name,team,opponent_team,was_home
90,0,0,0,2,0,0,0,0,0,4,0,13,35.2,0.0,0.0,3.5,0,7,0,0,1,0.00,0.00,0.00,2.16,2,False,1,15,2025-26,David Raya Martín,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,2,15,2025-26,Kepa Arrizabalaga Revuelta,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,3,15,2025-26,Karl Hein,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,4,15,2025-26,Tommy Setford,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,5,15,2025-26,Gabriel dos Santos Magalhães,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,6,15,2025-26,William Saliba,1,2,False
85,0,0,0,1,0,0,0,1,0,0,0,2,6.6,3.1,6.0,1.6,3,2,3,6,1,0.00,0.01,0.01,1.36,1,False,7,15,2025-26,Riccardo Calafiori,1,2,False
90,0,0,0,2,0,0,0,0,0,0,0,7,24.0,1.8,4.0,3.0,7,4,3,10,1,0.23,0.01,0.24,2.16,3,False,8,15,2025-26,Jurriën Timber,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,9,15,2025-26,Jakub Kiwior,1,2,False
4,0,0,0,1,0,0,0,0,0,0,0,-1,1.0,0.0,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.80,1,False,10,15,2025-26,Myles Lewis-Skelly,1,2,False
90,0,0,0,2,0,0,0,0,0,0,0,18,24.0,17.6,23.0,6.5,2,5,3,5,1,0.32,0.26,0.58,2.16,1,False,11,15,2025-26,Benjamin White,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,12,15,2025-26,Oleksandr Zinchenko,16,9,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,13,15,2025-26,Brayden Clarke,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,14,15,2025-26,Maldini Kacurri,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,15,15,2025-26,Josh Nichols,1,2,False
78,0,1,0,1,0,0,0,1,0,0,0,18,12.6,46.3,36.0,9.5,0,5,2,7,1,0.58,0.31,0.89,1.32,4,False,16,15,2025-26,Bukayo Saka,1,2,False
90,0,0,0,2,0,0,0,0,0,0,0,21,25.8,36.2,27.0,8.9,1,7,2,10,1,0.14,0.15,0.29,2.16,2,False,17,15,2025-26,Martin Ødegaard,1,2,False
11,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.3,4.0,0.4,0,0,0,0,0,0.05,0.00,0.05,0.84,1,False,18,15,2025-26,Noni Madueke,1,2,False
4,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.80,1,False,19,15,2025-26,Gabriel Martinelli Silva,1,2,False
40,1,0,0,0,0,0,0,0,0,0,0,23,37.0,0.6,58.0,9.6,0,1,1,2,0,0.46,0.01,0.47,0.49,6,False,20,15,2025-26,Leandro Trossard,1,2,False
90,0,0,0,2,0,0,0,0,0,0,2,30,36.6,37.7,12.0,8.6,9,10,2,21,1,0.14,0.13,0.27,2.16,6,False,21,15,2025-26,Declan Rice,1,2,False
45,0,0,0,1,0,0,0,0,0,0,0,4,4.0,1.6,2.0,0.8,2,3,0,5,1,0.00,0.01,0.01,0.87,1,False,22,15,2025-26,Mikel Merino Zazón,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,23,15,2025-26,Fábio Ferreira Vieira,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,24,15,2025-26,Christian Nørgaard,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,25,15,2025-26,Ethan Nwaneri,1,2,False
90,0,0,0,2,0,0,0,0,0,0,0,14,13.2,2.8,0.0,1.6,7,0,1,8,1,0.00,0.02,0.02,2.16,2,False,26,15,2025-26,Martín Zubimendi Ibáñez,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,27,15,2025-26,Reiss Nelson,5,18,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,28,15,2025-26,Ismeal Kabia,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,29,15,2025-26,Albert Sambi Lokonga,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,30,15,2025-26,Kai Havertz,1,2,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,31,15,2025-26,Gabriel Fernando de Jesus,1,2,False
90,0,0,0,1,0,0,0,0,0,7,0,21,38.4,0.0,0.0,3.8,1,9,0,0,1,0.00,0.00,0.00,1.92,4,False,32,15,2025-26,Emiliano Martínez Romero,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,33,15,2025-26,Marco Bizot,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,34,15,2025-26,Joe Gauci,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,35,15,2025-26,Filip Marschall,2,1,True
86,1,0,0,1,0,0,0,0,0,0,1,24,47.0,15.2,24.0,8.6,5,1,1,6,1,0.25,0.05,0.30,1.87,9,False,36,15,2025-26,Matty Cash,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,37,15,2025-26,Lucas Digne,2,1,True
90,0,0,0,1,0,0,0,0,0,0,0,11,8.2,1.3,0.0,1.0,5,4,0,5,1,0.00,0.01,0.01,1.92,2,False,38,15,2025-26,Ezri Konsa Ngoyo,2,1,True
90,0,0,0,1,0,0,0,0,0,0,0,7,6.2,5.0,9.0,2.0,3,2,1,4,1,0.05,0.03,0.08,1.92,2,False,39,15,2025-26,Ian Maatsen,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,40,15,2025-26,Tyrone Mings,2,1,True
85,0,1,0,1,0,0,0,0,0,0,0,17,13.2,1.3,4.0,1.9,4,5,1,5,1,0.00,0.02,0.02,1.87,5,False,41,15,2025-26,Pau Torres,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,42,15,2025-26,Andrés García,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,43,15,2025-26,Álex Moreno Lopera,2,1,True
15,0,0,0,0,0,0,0,0,0,0,0,3,1.6,0.7,0.0,0.2,1,1,0,1,0,0.00,0.01,0.01,0.05,1,False,44,15,2025-26,Lamare Bogarde,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,45,15,2025-26,Lino da Cruz Sousa,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,46,15,2025-26,Yasin Özcan,2,1,True
90,0,0,0,1,0,0,0,0,0,0,0,12,13.6,32.3,41.0,8.7,3,3,1,7,1,0.04,0.17,0.21,1.92,2,False,47,15,2025-26,Morgan Rogers,2,1,True
90,0,0,0,1,0,0,0,0,0,0,0,13,13.4,18.8,41.0,7.3,1,6,3,10,1,0.34,0.14,0.48,1.92,2,False,48,15,2025-26,Youri Tielemans,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,49,15,2025-26,Leon Bailey,2,1,True
3,1,0,0,0,0,0,0,0,0,0,0,22,35.2,10.8,40.0,8.6,0,0,0,0,0,0.48,0.17,0.65,0.05,6,False,50,15,2025-26,Emiliano Buendía Stati,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,51,15,2025-26,Samuel Iling-Junior,2,1,True
90,0,0,0,1,0,0,0,1,0,0,0,8,1.8,17.1,18.0,3.7,1,8,2,11,1,0.09,0.29,0.38,1.38,1,False,52,15,2025-26,Jacob Ramsey,15,3,True
24,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0.3,8.0,0.7,0,0,0,0,0,0.19,0.00,0.19,0.50,1,False,53,15,2025-26,Donyell Malen,2,1,True
74,0,0,0,1,0,0,0,0,0,0,0,11,5.0,11.3,4.0,2.0,2,1,1,4,1,0.00,0.02,0.02,1.87,2,False,54,15,2025-26,John McGinn,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,55,15,2025-26,Ross Barkley,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,56,15,2025-26,Enzo Barrenechea,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,57,15,2025-26,Lewis Dobbin,2,1,True
90,0,1,0,1,0,0,0,0,0,0,3,37,36.6,16.6,11.0,6.4,2,6,4,12,1,0.09,0.04,0.13,1.92,10,False,58,15,2025-26,Boubacar Kamara,2,1,True
74,0,0,0,1,0,0,0,0,0,0,0,5,1.4,2.2,0.0,0.4,3,4,2,9,1,0.00,0.02,0.02,1.87,2,False,59,15,2025-26,Amadou Onana,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,60,15,2025-26,Ben Broggio,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,61,15,2025-26,Leander Dendoncker,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,62,15,2025-26,Jamaldeen Jimoh-Aloba,2,1,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,63,15,2025-26,Kadan Young,2,1,True
