element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,1,0,0,0,7,14.0,0.0,0.0,1.4,29,2025-26,David Raya Martín,1,6,False
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,2025-26,Kepa Arrizabalaga Revuelta,1,6,False
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,2025-26,Karl Hein,1,6,False
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,2025-26,Tommy Setford,1,6,False
5,90,0,0,1,0,0,0,11,37.6,0.3,2.0,4.0,29,2025-26,Gabriel dos Santos Magalhães,1,6,False
6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,2025-26,William Saliba,1,6,False
7,26,0,0,0,0,0,0,1,4.6,0.9,0.0,0.6,29,2025-26,Riccardo Calafiori,1,6,False
8,90,0,1,1,0,0,0,13,36.4,20.8,2.0,5.9,29,2025-26,Jurriën Timber,1,6,False
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,2025-26,Jakub Kiwior,1,6,False
10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,2025-26,Myles Lewis-Skelly,1,6,False
11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,2025-26,Benjamin White,1,6,False
12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,2025-26,Oleksandr Zinchenko,16,13,False
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,2025-26,Brayden Clarke,1,6,False
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,2025-26,Maldini Kacurri,1,6,False
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,2025-26,Josh Nichols,1,6,False
16,90,1,0,1,0,0,0,9,34.0,1.1,27.0,6.2,29,2025-26,Bukayo Saka,1,6,False
17,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,2025-26,Martin Ødegaard,1,6,False
18,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,2025-26,Noni Madueke,1,6,False
19,59,0,0,0,0,0,0,1,0.0,0.3,4.0,0.2,29,2025-26,Gabriel Martinelli Silva,1,6,False
20,30,0,0,0,0,0,0,1,5.6,14.8,8.0,2.8,29,2025-26,Leandro Trossard,1,6,False
21,90,0,0,1,0,0,0,3,25.8,27.0,0.0,5.3,29,2025-26,Declan Rice,1,6,False
