element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,0,2,0,0,1,7.2,0.0,0.0,0.7,20,2025-26,David Raya Martín,1,4,False
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Kepa Arrizabalaga Revuelta,1,4,False
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Karl Hein,1,4,False
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Tommy Setford,1,4,False
5,90,1,0,0,2,0,0,9,55.4,1.5,19.0,7.6,20,2025-26,Gabriel dos Santos Magalhães,1,4,False
6,90,0,0,0,2,0,0,1,16.8,0.8,0.0,1.8,20,2025-26,William Saliba,1,4,False
7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Riccardo Calafiori,1,4,False
8,90,0,0,0,2,0,0,3,31.6,22.3,4.0,5.8,20,2025-26,Jurriën Timber,1,4,False
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Jakub Kiwior,1,4,False
10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Myles Lewis-Skelly,1,4,False
11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Benjamin White,1,4,False
12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Oleksandr Zinchenko,16,2,False
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Brayden Clarke,1,4,False
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Maldini Kacurri,1,4,False
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Josh Nichols,1,4,False
16,23,0,1,0,1,0,0,4,21.0,36.0,9.0,6.6,20,2025-26,Bukayo Saka,1,4,False
17,79,0,1,0,2,0,0,7,24.8,25.2,3.0,5.3,20,2025-26,Martin Ødegaard,1,4,False
18,66,0,0,0,1,0,0,2,10.2,12.6,16.0,3.9,20,2025-26,Noni Madueke,1,4,False
19,66,0,1,0,1,0,0,5,4.4,5.7,7.0,1.7,20,2025-26,Gabriel Martinelli Silva,1,4,False
20,23,0,0,0,1,0,0,1,8.4,0.5,5.0,1.4,20,2025-26,Leandro Trossard,1,4,False
21,90,2,0,0,2,0,0,17,81.2,15.9,24.0,12.1,20,2025-26,Declan Rice,1,4,False
22,10,0,0,0,0,0,0,1,5.8,0.7,12.0,1.9,20,2025-26,Mikel Merino Zazón,1,4,False
23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Fábio Ferreira Vieira,1,4,False
24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Christian Nørgaard,1,4,False
25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Ethan Nwaneri,1,4,False
26,90,0,0,0,2,1,0,3,21.4,17.4,0.0,3.9,20,2025-26,Martín Zubimendi Ibáñez,1,4,False
27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Reiss Nelson,5,9,False
28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Ismeal Kabia,1,4,False
29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Albert Sambi Lokonga,1,4,False
30,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Kai Havertz,1,4,False
31,24,0,0,0,1,0,0,1,9.4,0.0,19.0,2.8,20,2025-26,Gabriel Fernando de Jesus,1,4,False
32,90,0,0,0,1,0,0,3,28.8,0.0,0.0,2.9,20,2025-26,Emiliano Martínez Romero,2,16,True
33,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Marco Bizot,2,16,True
34,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Joe Gauci,2,16,True
35,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Filip Marschall,2,16,True
36,89,0,1,0,1,0,0,5,26.4,20.7,6.0,5.3,20,2025-26,Matty Cash,2,16,True
37,21,0,0,0,0,0,0,1,4.2,10.6,0.0,1.5,20,2025-26,Lucas Digne,2,16,True
38,90,0,0,0,1,0,0,2,16.8,3.8,2.0,2.3,20,2025-26,Ezri Konsa Ngoyo,2,16,True
39,68,0,0,0,1,0,0,2,5.2,3.8,9.0,1.8,20,2025-26,Ian Maatsen,2,16,True
40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Tyrone Mings,2,16,True
41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Pau Torres,2,16,True
42,1,0,0,0,0,0,0,1,0.0,0.1,0.0,0.0,20,2025-26,Andrés García,2,16,True
43,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Álex Moreno Lopera,2,16,True
44,7,0,0,0,0,1,0,0,0.0,0.1,0.0,0.0,20,2025-26,Lamare Bogarde,2,16,True
45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,2025-26,Lino da Cruz Sousa,2,16,True
