minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,element,Gameweek,season,name,team,opponent_team,was_home
90,0,0,0,2,0,0,0,0,0,1,0,8,14.4,0.0,0.0,1.4,0,12,0,0,1,0.00,0.00,0.00,1.19,1,False,1,32,2025-26,David Raya Martín,1,4,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,2,32,2025-26,Kepa Arrizabalaga Revuelta,1,4,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,3,32,2025-26,Karl Hein,1,4,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,4,32,2025-26,Tommy Setford,1,4,True
90,0,1,0,2,0,0,0,0,0,0,0,12,16.0,0.6,21.0,3.8,7,5,1,8,1,0.08,0.01,0.09,1.19,4,False,5,32,2025-26,Gabriel dos Santos Magalhães,1,4,True
90,0,0,0,2,0,0,0,0,0,0,0,12,16.6,10.8,2.0,2.9,5,2,1,6,1,0.00,0.00,0.00,1.19,1,False,6,32,2025-26,William Saliba,1,4,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,7,32,2025-26,Riccardo Calafiori,1,4,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,8,32,2025-26,Jurriën Timber,1,4,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,9,32,2025-26,Jakub Kiwior,1,4,True
90,0,0,0,2,0,0,0,0,0,0,0,5,14.0,2.3,7.0,2.3,3,3,2,5,1,0.05,0.02,0.07,1.19,1,False,10,32,2025-26,Myles Lewis-Skelly,1,4,True
75,0,0,0,2,0,0,0,0,0,0,0,13,20.2,12.3,2.0,3.5,7,3,2,9,1,0.02,0.02,0.04,1.18,1,False,11,32,2025-26,Benjamin White,1,4,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,12,32,2025-26,Oleksandr Zinchenko,16,2,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,13,32,2025-26,Brayden Clarke,1,4,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,14,32,2025-26,Maldini Kacurri,1,4,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,15,32,2025-26,Josh Nichols,1,4,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,16,32,2025-26,Bukayo Saka,1,4,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,17,32,2025-26,Martin Ødegaard,1,4,True
53,0,0,0,1,0,0,0,0,0,0,0,4,3.4,5.9,4.0,1.3,0,0,2,2,1,0.00,0.07,0.07,0.70,1,False,18,32,2025-26,Noni Madueke,1,4,True
53,0,0,0,1,0,0,0,0,0,0,0,3,1.2,10.8,2.0,1.4,0,1,0,1,1,0.00,0.01,0.01,0.70,1,False,19,32,2025-26,Gabriel Martinelli Silva,1,4,True
36,0,0,0,1,0,0,0,0,0,0,0,4,8.0,14.0,6.0,2.8,2,0,0,2,0,0.00,0.01,0.01,0.49,1,False,20,32,2025-26,Leandro Trossard,1,4,True
90,0,0,0,2,0,0,0,0,0,0,2,26,20.4,39.3,13.0,7.3,1,4,3,8,1,0.10,0.33,0.43,1.19,4,False,21,32,2025-26,Declan Rice,1,4,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,22,32,2025-26,Mikel Merino Zazón,1,4,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,23,32,2025-26,Fábio Ferreira Vieira,1,4,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,24,32,2025-26,Christian Nørgaard,1,4,True
