element,team,element_type,first_name,second_name,web_name
508,16,2,Neco,Williams,N.Williams
509,16,2,David,Mota Veiga Teixeira do Carmo,David Carmo
510,16,2,Jair,Paula da Cunha Filho,Jair Cunha
511,16,2,Felipe,Rodrigues da Silva,Morato
512,16,2,Omar,Richards,O.Richards
513,16,2,Zach,Abbott,Abbott
514,16,2,Willy,Boly,Boly
515,16,3,Morgan,Gibbs-White,Gibbs-White
516,16,3,Callum,Hudson-Odoi,Hudson-Odoi
517,16,3,Elliot,Anderson,Anderson
518,16,3,João Pedro,Ferreira da Silva,Jota
519,16,3,Nicolás,Domínguez,Dominguez
520,16,3,Lewis,O'Brien,O'Brien
521,16,3,Ibrahim,Sangaré,Sangaré
522,16,3,Ryan,Yates,Yates
523,16,3,Eric,da Silva Moreira,Da Silva Moreira
524,16,3,Marko,Stamenić,Stamenic
525,16,4,Chris,Wood,Wood
526,16,4,Igor Jesus,Maciel da Cruz,Igor Jesus
527,16,4,Taiwo,Awoniyi,Awoniyi
669,16,3,Dan,Ndoye,Ndoye
675,16,1,Angus,Gunn,Gunn
693,16,3,Omari,Hutchinson,Hutchinson
696,16,4,Arnaud,Kalimuendo,Kalimuendo
715,16,1,John Victor,Maciel Furtado,John
716,16,2,Nicolò,Savona,Savona
729,16,2,Luis Eduardo,Soares da Silva,Cuiabano
734,16,3,Dilane,Bakwa,Bakwa
805,16,4,Lorenzo,Lucca,Lucca
814,16,2,Luca,Netz,Netz
528,17,1,Anthony,Patterson,Patterson
529,17,1,Simon,Moore,Moore
530,17,1,Blondy,Nna Noukeu,Nna Noukeu
531,17,2,Daniel,Ballard,Ballard
532,17,2,Trai,Hume,Hume
533,17,2,Aji,Alese,Alese
534,17,2,Joe,Anderson,Anderson
535,17,2,Dennis,Cirkin,Cirkin
536,17,2,Leo Fuhr,Hjelde,Hjelde
537,17,2,Niall,Huggins,Huggins
538,17,2,Zak,Johnson,Johnson
539,17,2,Luke,O'Nien,O'Nien
540,17,2,Timothée,Pembélé,Pembele
541,17,2,Reinildo,Mandava,Reinildo
542,17,2,Jenson,Seelt,Seelt
543,17,3,Simon,Adingra,Adingra
544,17,3,Habib,Diarra,Diarra
545,17,3,Patrick,Roberts,Roberts
546,17,3,Milan,Aleksić,Aleksić
547,17,3,Enzo,Le Fée,E.Le Fée
548,17,3,Romaine,Mundle,Mundle
549,17,3,Dan,Neil,Neil
550,17,3,Ian,Poveda-Ocampo,Poveda
551,17,3,Chris,Rigg,Rigg
552,17,3,Noah,Sadiki,Sadiki
553,17,3,Chemsdine,Talbi,Talbi
554,17,3,Abdoullah,Ba,Ba
555,17,3,Alan,Browne,Browne
556,17,3,Pierre,Ekwah Elimby,Ekwah
557,17,3,Harrison,Jones,H.Jones
558,17,3,Jay,Matete,Matete
559,17,3,Nectarios,Triantis,Triantis
560,17,4,Wilson,Isidor,Isidor
561,17,4,Eliezer,Mayenda Dossou,Mayenda
562,17,4,Ahmed,Abdullahi,Abdullahi
563,17,4,Luís Hemir,Silva Semedo,Luís Hemir
564,17,4,Nazarii,Rusyn,Rusyn
668,17,3,Granit,Xhaka,Xhaka
670,17,1,Robin,Roefs,Roefs
678,17,2,Arthur,Masuaku,Masuaku
683,17,2,Omar,Alderete,Alderete
694,17,2,Nordi,Mukiele,Mukiele
724,17,2,Lutsharel,Geertruida,Geertruida
730,17,4,Brian,Brobbey,Brobbey
735,17,3,Bertrand,Traoré,Traoré
774,17,2,Jenson,Jones,Jenson Jones
775,17,3,Tymur,Tutierov,Tutierov
800,17,3,Djiamgone Jocelin Ta,Bi,Jocelin.T
812,17,1,Melker,Ellborg,Ellborg
813,17,3,Nilson,Angulo,Angulo
821,17,3,Jack,Whittaker,Whittaker
822,17,3,Jaydon,Jones,Jones
565,18,1,Guglielmo,Vicario,Vicario
566,18,1,Brandon,Austin,Austin
567,18,1,Antonín,Kinský,Kinsky
568,18,2,Pedro,Porro Sauceda,Pedro Porro
569,18,2,Cristian,Romero,Romero
570,18,2,Kevin,Danso,Danso
571,18,2,Ben,Davies,Davies
572,18,2,Radu,Drăgușin,Dragusin
573,18,2,Djed,Spence,Spence
574,18,2,Destiny,Udogie,Udogie
575,18,2,Micky,van de Ven,Van de Ven
576,18,2,Ashley,Phillips,Phillips
577,18,2,Takai,Kōta,Takai
578,18,2,Luka,Vušković,Vuskovic
579,18,3,Son,Heung-min,Son
581,18,3,James,Maddison,Maddison
582,18,3,Mohammed,Kudus,Kudus
583,18,3,Dejan,Kulusevski,Kulusevski
584,18,3,Mathys,Tel,Tel
585,18,3,Rodrigo,Bentancur,Bentancur
586,18,3,Lucas,Bergvall,Bergvall
587,18,3,Yves,Bissouma,Bissouma
588,18,3,Wilson,Odobert,Odobert
589,18,3,Manor,Solomon,Solomon
590,18,3,Bryan,Gil Salvatierra,Bryan
591,18,3,Archie,Gray,Gray
592,18,3,Mikey,Moore,Moore
593,18,3,Pape Matar,Sarr,P.M.Sarr
594,18,3,Yang,Min-hyeok,Min-hyeok
595,18,3,Callum,Olusesi,Olusesi
596,18,4,Dominic,Solanke-Mitchell,Solanke
597,18,4,Richarlison,de Andrade,Richarlison
598,18,4,Will,Lankshear,Lankshear
599,18,4,Dane,Scarlett,Scarlett
673,18,3,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,J.Palhinha
717,18,3,Xavi,Simons,Xavi
726,18,4,Randal,Kolo Muani,Kolo Muani
745,18,2,Jun'ai,Byfield,Byfield
750,18,2,James,Rowswell,Rowswell
751,18,3,Yusuf,Akhamrich,Akhamrich
790,18,3,Lucá,Williams-Barnett,Williams-Barnett
796,18,3,Conor,Gallagher,Gallagher
804,18,2,João Victor,de Souza Menezes,Souza
811,18,3,Rio,Kyerematen,Kyerematen
818,18,4,James,Wilson,Wilson
326,19,3,Adama,Traoré Diarra,Adama
600,19,1,Alphonse,Areola,Areola
601,19,1,Wes,Foderingham,Foderingham
602,19,1,Krisztián,Hegyi,Hegyi
603,19,2,El Hadji Malick,Diouf,Diouf
604,19,2,Emerson,Palmieri dos Santos,Emerson
605,19,2,Maximilian,Kilman,Kilman
606,19,2,Konstantinos,Mavropanos,Mavropanos
607,19,2,Nayef,Aguerd,N.Aguerd
608,19,2,Ollie,Scarles,Scarles
609,19,2,Jean-Clair,Todibo,Todibo
610,19,2,Aaron,Wan-Bissaka,Wan-Bissaka
611,19,2,Kaelan,Casey,Casey
612,19,3,Lucas,Tolentino Coelho de Lima,L.Paquetá
613,19,3,Tomáš,Souček,Souček
615,19,3,Crysencio,Summerville,Summerville
616,19,3,Edson,Álvarez Velázquez,Álvarez
617,19,3,Maxwel,Cornet,Cornet
618,19,3,Guido,Rodríguez,G.Rodriguez
619,19,3,Luis Guilherme,Lira dos Santos,L.Guilherme
620,19,3,George,Earthy,Earthy
621,19,3,Andy,Irving,Irving
622,19,3,Lewis,Orford,Orford
623,19,3,Freddie,Potts,Potts
624,19,4,Jarrod,Bowen,Bowen
625,19,4,Niclas,Füllkrug,Füllkrug
626,19,4,Callum,Marshall,Marshall
659,19,2,Kyle,Walker-Peters,Walker-Peters
671,19,4,Callum,Wilson,Wilson
679,19,1,Mads,Hermansen,Hermansen
708,19,3,Mateus Gonçalo,Espanha Fernandes,M.Fernandes
718,19,3,Soungoutou,Magassa,S.Magassa
738,19,1,Lukasz,Fabianski,Fabianski
747,19,2,Ezra,Mayers,Mayers
752,19,2,Airidas,Golambeckis,Golambeckis
758,19,3,Mohamadou,Kanté,Mohamadou Kanté
785,19,4,Pablo Felipe,Pereira de Jesus,Pablo
791,19,4,Valentín,Castellanos,Taty
802,19,3,Keiber,Lamadrid,Lamadrid
815,19,2,Axel,Disasi,Disasi
825,19,1,Finlay,Herrick,Herrick
627,20,1,Sam,Johnstone,Johnstone
628,20,1,José,Malheiro de Sá,José Sá
629,20,1,Daniel,Bentley,Bentley
631,20,2,Emmanuel,Agbadou,Agbadou
632,20,2,Matt,Doherty,Doherty
633,20,2,Hugo,Bueno López,H.Bueno
634,20,2,Yerson,Mosquera Valdelamar,Mosquera
635,20,2,Rodrigo,Martins Gomes,R.Gomes
636,20,2,Santiago,Ignacio Bueno,S.Bueno
637,20,2,Toti,Gomes,Toti
638,20,2,Ki-Jana,Hoever,Hoever
639,20,2,Bastien,Meupiyou Menadjou,Meupiyou
640,20,2,Pedro,Cardoso de Lima,Pedro Lima
641,20,2,Alfie,Pond,Pond
642,20,3,Hwang,Hee-chan,Hee Chan
643,20,3,André,Trindade da Costa Neto,André
644,20,3,Jean-Ricner,Bellegarde,Bellegarde
645,20,3,Fer,López González,Fer López
646,20,3,João Victor,Gomes da Silva,J.Gomes
647,20,3,Gonçalo Manuel,Ganchinho Guedes,Guedes
648,20,3,Marshall,Munetsi,Munetsi
649,20,3,Boubacar,Traoré,B.Traore
650,20,3,Tawanda,Chirewa,Chirewa
651,20,3,Tom,Edozie,Edozie
652,20,3,Enso,González Medina,Gonzalez
653,20,3,Joe,Hodge,Hodge
655,20,4,Fábio,Soares Silva,Fábio Silva
656,20,4,Saša,Kalajdžić,Kalajdžić
657,20,4,Leon,Chiwome,Chiwome
658,20,4,Nathan,Fraser,Fraser
663,20,3,Jhon,Arias,J.Arias
682,20,2,David,Møller Wolfe,Møller Wolfe
695,20,2,Jackson,Tchatchoua,Tchatchoua
709,20,2,Ladislav,Krejcí,Krejčí
720,20,4,Tolu,Arokodare,Tolu
749,20,4,Mateus,Mané,Mané
766,20,2,Saheed,Olagunju,Olagunju
767,20,3,Luke,Rawlings,Rawlings
777,20,3,Temple,Ojinnaka,Ojinnaka
778,20,3,Ethan,Sutherland,Sutherland
809,20,3,Jerome,Abbey,Abbey
816,20,3,Angel,Gomes,Angel
817,20,4,Adam,Armstrong,Armstrong
828,20,1,Alfie,Brooks,Brooks
831,20,1,Josh,Gracey,Gracey
