Unnamed: 0,Name,Gameweek,Team,Cost,Corners,Goal Attempts,xA Expected Assists,xG Expected Goals,Big Assists,Chances Created,DC Pts,Ownership,Svs,Solo Goals
,Sels,1,NFO,4.8,0,0,0.0,0.0,0,0,0,8.3,3,0
,Scott,1,BOU,5.0,0,0,0.01,0.0,0,1,2,0.3,0,0
,Schär,1,NEW,5.4,0,1,0.0,0.04,0,0,0,1.9,0,0
,Schade,1,BRE,7.0,0,1,0.01,0.13,0,0,0,0.7,0,0
,Ismaila Sarr,1,CRY,6.6,0,0,0.0,0.0,0,0,0,11.6,0,0
,Sarr (Pape),1,TOT,4.9,0,1,0.04,0.01,0,1,0,1.7,0,0
,Sarmiento,1,BHA,4.9,0,0,0.0,0.0,0,0,0,0.0,0,0
,Sarabia,1,WOL,5.0,1,1,0.01,0.08,0,0,0,0.1,0,0
,Matheus Cunha,1,WOL,7.9,0,1,0.02,0.06,0,1,0,4.4,0,0
,Murillo,1,NFO,5.3,0,0,0.0,0.0,0,0,0,2.0,0,0
,Ederson,1,MCI,5.3,0,0,0.0,0.0,0,0,0,0.9,3,0
,Sangaré,1,NFO,4.9,0,0,0.01,0.0,0,0,2,0.1,0,0
,Sanchez,1,CHE,4.8,0,0,0.0,0.0,0,0,0,13.5,3,0
,Saliba,1,ARS,6.0,0,0,0.0,0.0,0,0,0,11.6,0,0
,Salah,1,LIV,14.2,0,4,0.15,0.7,1,2,0,24.9,0,0
,Saka,1,ARS,10.1,3,5,0.37,0.35,1,5,0,17.2,0,1
,Romero,1,TOT,5.0,0,1,0.03,0.09,0,0,0,4.2,0,0
,Rogers,1,AVL,6.8,0,2,0.08,0.21,0,2,0,4.8,0,0
,Roerslev,1,BRE,4.5,0,0,0.0,0.0,0,0,0,0.0,0,0
,Rodríguez,1,WHU,4.8,0,1,0.03,0.02,0,0,0,0.0,0,0
,Robinson (Antonee),1,FUL,4.9,0,0,0.01,0.0,0,0,2,0.5,0,0
,Robertson,1,LIV,5.8,6,0,0.13,0.0,0,1,0,0.9,0,0
,Richards (Chris),1,CRY,4.5,0,0,0.01,0.0,0,0,0,3.2,0,0
,Rice,1,ARS,6.8,4,1,0.05,0.09,0,1,0,16.4,0,0
,Reed,1,FUL,4.4,0,0,0.0,0.0,0,0,0,0.2,0,0
,Raya Martin,1,ARS,5.8,0,0,0.0,0.0,0,0,0,31.3,3,0
,Rashford,1,AVL,7.0,0,0,0.11,0.0,0,1,0,0.0,0,0
,Ramsey (Jacob),1,AVL,5.3,0,1,0.13,0.06,1,1,0,0.2,0,0
,Alisson,1,LIV,5.4,0,0,0.0,0.0,0,0,0,5.8,2,0
,Quansah,1,LIV,3.9,0,0,0.0,0.0,0,0,0,1.0,0,0
,Porro,1,TOT,5.5,0,1,0.34,0.09,0,4,0,18.4,0,0
,Pope,1,NEW,5.2,0,0,0.0,0.0,0,0,0,12.2,3,0
,Podence,1,WOL,5.5,0,1,0.0,0.04,0,0,0,0.0,0,0
,Pinnock,1,BRE,4.3,0,1,0.0,0.01,0,0,0,0.1,0,0
,Pickford,1,EVE,5.5,0,0,0.02,0.0,0,0,0,9.7,2,0
,Philogene-Bidace,1,IPS,5.3,0,1,0.01,0.07,0,0,0,0.1,0,0
,Pereira,1,FUL,5.3,8,0,0.16,0.0,0,6,0,0.1,0,0
,Partey,1,ARS,4.9,0,1,0.06,0.06,0,4,0,0.7,0,0
,Emerson,1,WHU,4.4,0,1,0.02,0.04,0,0,0,0.1,0,0
,Palmer (Cole),1,CHE,10.3,2,2,0.19,0.07,0,2,0,9.2,0,0
,Dango Ouattara,1,BOU,6.0,0,1,0.01,0.22,0,0,0,0.5,0,0
,Onyeka,1,BRE,4.9,0,0,0.0,0.0,0,0,0,0.1,0,0
,Onana,1,MUN,4.9,0,0,0.0,0.0,0,0,0,0.2,2,0
,Odegaard,1,ARS,7.8,0,1,0.06,0.02,0,2,0,1.4,0,0
,Norgaard,1,BRE,5.2,0,0,0.01,0.0,0,1,2,0.1,0,0
,Nkunku,1,CHE,5.9,0,1,0.06,0.15,0,1,0,0.1,0,0
,Neto,1,CHE,7.1,0,1,0.16,0.04,0,2,0,5.9,0,0
,Nedeljkovic,1,AVL,3.9,0,0,0.0,0.0,0,0,0,0.5,0,0
,Ndidi,1,LEI,4.9,0,2,0.01,0.07,0,0,0,0.2,0,0
,Ndiaye,1,EVE,6.5,0,0,0.0,0.0,0,0,0,11.1,0,0
,Mykolenko,1,EVE,4.9,0,0,0.0,0.0,0,0,0,0.4,0,0
,Mvom Onana,1,AVL,4.8,0,1,0.01,0.55,0,0,2,0.6,0,0
,Muñoz,1,CRY,5.7,1,0,0.02,0.0,0,1,0,15.3,0,0
,Murphy (Jacob),1,NEW,6.1,0,0,0.01,0.0,0,0,0,1.1,0,0
