gameweek,Name,Team,Cost,App,Starts,Mins,On,Off,M/App,M/Strt,G,A,CS,GC,OG,PS,Svs,YC,RC,sBln,ARtn,Rtn,DC,B,DD,Tot,M/Pt,Pts/Strt
1,Cash,AVL,4.6,1,1,79,0,1,79.0,79.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,39.5,2.0
1,Chaplin,IPS,5.1,1,1,63,0,1,63.0,63.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,31.5,2.0
1,Christie,BOU,5.0,1,0,33,1,0,33.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.0,0.0
1,Collins,BRE,4.9,1,1,90,0,0,90.0,90.0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,6,15.0,6.0
1,Colwill,CHE,4.8,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,90.0,1.0
1,Cook,BOU,4.9,1,1,82,0,1,82.0,82.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,82.0,1.0
1,Coufal,WHU,4.1,1,1,82,0,1,82.0,82.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,82.0,1.0
1,Cucurella,CHE,6.1,1,1,78,0,1,78.0,78.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,39.0,2.0
1,Renato Veiga,CHE,4.4,1,0,15,1,0,15.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15.0,0.0
1,Dalot,MUN,4.4,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,12.9,7.0
1,Damsgaard,BRE,5.8,1,0,21,1,0,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0,0.0
1,Davis,IPS,4.2,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,90.0,1.0
1,Dawson,WOL,4.2,1,0,12,1,0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0,0.0
1,Richarlison,TOT,6.5,1,0,8,1,0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,0.0
1,De Bruyne,MCI,9.5,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,30.0,3.0
1,Jesus,ARS,6.4,1,0,11,1,0,11.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
1,de Ligt,MUN,5.0,1,0,14,1,0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0,0.0
1,DeCordova-Reid,LEI,5.2,1,1,78,0,1,78.0,78.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,39.0,2.0
1,Delap,IPS,6.2,1,1,72,0,1,72.0,72.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,36.0,2.0
1,Dewsbury-Hall,CHE,4.9,1,0,29,1,0,29.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,29.0,0.0
1,Díaz,LIV,8.0,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,30.0,3.0
1,Dibling,SOU,5.4,1,0,26,1,0,26.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0,0.0
1,Digne,AVL,4.5,1,1,73,0,1,73.0,73.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,36.5,2.0
1,Diop,FUL,4.4,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Doherty,WOL,4.4,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,90.0,1.0
1,Doku,MCI,6.5,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,30.0,3.0
1,Nicolás Domínguez,NFO,5.0,1,0,43,1,0,43.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,43.0,0.0
1,Danilo,NFO,4.7,1,1,7,0,1,7.0,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.0,1.0
1,Gabriel Magalhães,ARS,6.5,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,15.0,6.0
1,Doucouré,EVE,5.1,1,1,58,0,1,58.0,58.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,29.0,2.0
1,Doucoure,CRY,4.9,1,0,11,1,0,11.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.0,0.0
1,Downes,SOU,4.7,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Dunk,BHA,4.5,1,1,71,0,1,71.0,71.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,11.8,6.0
1,Durán,AVL,5.7,1,0,35,1,0,35.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,6,5.8,0.0
1,Edouard,LEI,5.0,1,0,45,1,0,45.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,45.0,0.0
1,Edozie (Samuel),SOU,4.9,1,0,45,1,0,45.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
1,Elanga,NFO,6.7,1,1,52,0,1,52.0,52.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,52.0,1.0
1,Evans (Jonny),MUN,4.4,1,0,14,1,0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0,0.0
1,Eze,CRY,7.6,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Faes,LEI,3.8,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,90.0,1.0
1,Fatawu,LEI,5.1,1,1,90,0,0,90.0,90.0,0,1,0,1,0,0,0,0,0,0,1,1,0,3,0,8,11.3,8.0
1,Fernández,CHE,6.7,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Flekken,BRE,4.5,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,4,22.5,4.0
1,Foden,MCI,8.0,1,0,45,1,0,45.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45.0,0.0
1,Fofana (Wesley),CHE,4.4,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,90.0,1.0
1,Casemiro,MUN,5.5,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,30.0,3.0
1,Füllkrug,WHU,5.6,1,0,23,1,0,23.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23.0,0.0
1,Gakpo,LIV,7.6,1,0,18,1,0,18.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
1,Garnacho,MUN,6.4,1,0,34,1,0,34.0,0.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,8.5,0.0
1,Rúben Dias,MCI,5.5,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,15.0,6.0
1,Gibbs-White,NFO,7.3,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Gilmour,BHA,5.0,1,0,17,1,0,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.0,0.0
1,Rodrigo Gomes,WOL,4.5,1,1,74,0,1,74.0,74.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,37.0,2.0
1,Toti,WOL,4.3,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0
1,Beto,EVE,5.2,1,0,23,1,0,23.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23.0,0.0
1,João Gomes,WOL,5.4,1,1,83,0,1,83.0,83.0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,83.0,1.0
1,Gordon (Anthony),NEW,7.5,1,1,69,0,1,69.0,69.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,23.0,3.0
1,Gravenberch,LIV,5.6,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,30.0,3.0
1,Gray (Archie),TOT,4.8,1,0,22,1,0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.0,0.0
1,Greaves,IPS,3.8,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,90.0,1.0
1,Marc Guehi,CRY,4.9,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0
1,Gueye,EVE,5.4,1,1,90,0,0,90.0,90.0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Bruno Guimarães,NEW,6.5,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,30.0,3.0
