minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,element,Gameweek,season,name,team,opponent_team,was_home
90,0,0,0,1,0,0,0,0,0,4,0,12,1.2,0.0,0.0,0.1,1,4,0,0,1,0.00,0.01,0.01,1.05,3,False,1,28,2025-26,David Raya Martín,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,2,28,2025-26,Kepa Arrizabalaga Revuelta,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,3,28,2025-26,Karl Hein,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,4,28,2025-26,Tommy Setford,1,7,True
90,0,1,0,1,0,0,0,1,0,0,3,27,6.6,0.6,2.0,0.9,7,4,4,11,1,0.03,0.57,0.60,1.05,9,False,5,28,2025-26,Gabriel dos Santos Magalhães,1,7,True
90,1,0,0,1,0,0,0,0,0,0,2,26,33.6,0.1,33.0,6.7,5,3,1,6,1,0.26,0.00,0.26,1.05,10,True,6,28,2025-26,William Saliba,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,7,28,2025-26,Riccardo Calafiori,1,7,True
90,1,0,0,1,0,0,0,0,0,0,0,25,2.6,10.7,0.0,1.3,3,4,1,4,1,0.41,0.01,0.42,1.05,8,False,8,28,2025-26,Jurriën Timber,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,9,28,2025-26,Jakub Kiwior,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,10,28,2025-26,Myles Lewis-Skelly,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,11,28,2025-26,Benjamin White,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,12,28,2025-26,Oleksandr Zinchenko,16,6,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,13,28,2025-26,Brayden Clarke,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,14,28,2025-26,Maldini Kacurri,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,15,28,2025-26,Josh Nichols,1,7,True
90,0,0,0,1,0,0,0,0,0,0,0,9,4.2,14.4,2.0,2.1,1,5,1,7,1,0.01,0.29,0.30,1.05,2,False,16,28,2025-26,Bukayo Saka,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,17,28,2025-26,Martin Ødegaard,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,18,28,2025-26,Noni Madueke,1,7,True
34,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,2,0,2,0,0.00,0.01,0.01,0.22,1,False,19,28,2025-26,Gabriel Martinelli Silva,1,7,True
55,0,0,0,1,0,0,0,0,0,0,0,4,0.4,0.3,5.0,0.6,0,4,0,4,1,0.02,0.06,0.08,0.83,1,False,20,28,2025-26,Leandro Trossard,1,7,True
75,0,1,0,1,0,0,0,0,0,0,0,25,1.8,1.2,0.0,0.3,2,2,3,7,1,0.04,0.24,0.28,1.00,5,False,21,28,2025-26,Declan Rice,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,22,28,2025-26,Mikel Merino Zazón,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,23,28,2025-26,Fábio Ferreira Vieira,1,7,True
14,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1,0,0,1,0,0.00,0.00,0.00,0.05,1,False,24,28,2025-26,Christian Nørgaard,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,25,28,2025-26,Ethan Nwaneri,1,7,True
90,0,0,0,1,0,0,0,0,0,0,0,11,0.0,0.3,1.0,0.1,2,2,3,7,1,0.08,0.21,0.29,1.05,2,False,26,28,2025-26,Martín Zubimendi Ibáñez,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,27,28,2025-26,Reiss Nelson,5,3,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,28,28,2025-26,Ismeal Kabia,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,29,28,2025-26,Albert Sambi Lokonga,1,7,True
14,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,1,1,2,0,0.00,0.00,0.00,0.05,1,False,30,28,2025-26,Kai Havertz,1,7,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,31,28,2025-26,Gabriel Fernando de Jesus,1,7,True
90,0,0,0,2,0,0,0,0,0,0,0,6,6.0,0.1,0.0,0.6,0,6,0,0,1,0.00,0.00,0.00,0.86,1,False,32,28,2025-26,Emiliano Martínez Romero,2,20,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,33,28,2025-26,Marco Bizot,2,20,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,34,28,2025-26,Joe Gauci,2,20,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,35,28,2025-26,Filip Marschall,2,20,False
90,0,0,0,2,0,0,0,1,0,0,0,11,23.0,33.9,0.0,5.7,2,6,5,7,1,0.00,0.07,0.07,0.86,0,False,36,28,2025-26,Matty Cash,2,20,False
69,0,0,0,1,0,0,0,0,0,0,0,7,1.4,6.3,0.0,0.8,1,1,0,1,1,0.00,0.09,0.09,0.39,2,False,37,28,2025-26,Lucas Digne,2,20,False
90,0,0,0,2,0,0,0,0,0,0,0,11,17.8,0.8,0.0,1.9,6,5,2,8,1,0.00,0.01,0.01,0.86,1,False,38,28,2025-26,Ezri Konsa Ngoyo,2,20,False
20,0,0,0,1,0,0,0,0,0,0,0,3,13.0,25.2,23.0,6.1,2,2,0,2,0,0.20,0.08,0.28,0.47,1,False,39,28,2025-26,Ian Maatsen,2,20,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,40,28,2025-26,Tyrone Mings,2,20,False
90,0,0,0,2,0,0,0,0,0,0,0,9,16.0,1.5,4.0,2.2,6,3,1,7,1,0.04,0.01,0.05,0.86,1,False,41,28,2025-26,Pau Torres,2,20,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,42,28,2025-26,Andrés García,2,20,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,43,28,2025-26,Álex Moreno Lopera,2,20,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,44,28,2025-26,Lamare Bogarde,2,20,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,45,28,2025-26,Lino da Cruz Sousa,2,20,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,46,28,2025-26,Yasin Özcan,2,20,False
90,0,0,0,2,0,0,0,0,0,0,0,11,15.0,12.2,27.0,5.4,1,5,0,6,1,0.21,0.03,0.24,0.86,2,False,47,28,2025-26,Morgan Rogers,2,20,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,48,28,2025-26,Youri Tielemans,2,20,False
