Player UUID,Player Name,Player Name Norm,Web Name
3003d693-61f9-4157-bf7f-51389503be0c,Ainsley_Maitland-Niles,ainsley maitlandniles,Maitland-Niles
1c5dfcb1-7519-48be-a2ca-d829edd2fd26,Ajibola Alese,ajibola alese,Alese
7499b3f8-c2a7-4714-aa0a-65cfeffd13d3,Akin_Famewo_552,akin famewo,Famewo
33aeef90-88f5-4e0b-9a51-2eb2ef42babc,Albert Grønbæk,albert gronbaek,Grønbæk
26519591-834b-46dd-b94a-342a5f4f69aa,Albert Sambi Lokonga,albert sambi lokonga,Sambi
426b555e-627e-45fd-a326-f824d400d1ce,Albert_Adomah,albert adomah,Adomah
00633d30-d7a9-4ede-9a14-3e215f6a6493,Alberto_Moreno,alberto moreno,Moreno
6bbbc399-87a4-4d01-b1fd-4473540633cf,Albian_Ajeti_514,albian ajeti,Ajeti
4ceb8fde-e83d-4dc9-a41c-22aea6a25ae5,Aleix_García Serrano,aleix garcia serrano,García
399c1e0b-23ee-457d-a14a-f4ec965154f0,Alejandro Garnacho,alejandro garnacho,Garnacho
f0631990-c1be-464e-b3ec-0ac97dd58a6a,Alejandro Garnacho Ferreyra,alejandro garnacho ferreyra,Garnacho
95442beb-cf54-4d97-8268-27174b237515,Alejo Véliz,alejo veliz,Veliz
7c26ee68-5130-4154-9f98-adb2ae1bda56,Aleksandar_Dragovic,aleksandar dragovic,Dragovic
767b5bd8-ecad-49d8-a106-3b9629417b6e,Aleksandar_Kolarov,aleksandar kolarov,Kolarov
5e7e4143-4485-40a9-991f-9d056ed81835,Aleksandar_Mitrovic,aleksandar mitrovic,Mitrović
5f7e1f04-96e2-46da-94df-60d713da4cf0,Alex Kirk,alex kirk,Kirk
2b779f8f-7cc9-41b2-9004-d116f10aaa87,Alex Kral,alex kral,Kral
e09001e0-9635-4a50-b264-e1329d411876,Alex Matos,alex matos,Matos
69686340-285a-4018-8dac-79f2455c1186,Alex Mighten,alex mighten,Mighten
ab3e552a-49e7-4b89-9473-6dce7e8304ff,Alex Murphy,alex murphy,A.Murphy
ced83cb7-c2b3-4453-9d62-0bf3f2d19edb,Alex Nicolao Telles,alex nicolao telles,Telles
91b48326-f31a-4f4b-8e79-cdc2feb53aa9,Alex Paulsen,alex paulsen,Paulsen
95d373c3-3386-4433-a847-f97b2b7a34fe,Alex Robertson,alex robertson,Robertson
d74ee201-cbe2-4e8e-86f4-6ee5d2910758,Alex Scott,alex scott,Scott
cbfa96d6-b1b8-4332-9cf5-82f742ac0fc4,Alex Telles,alex telles,Alex Telles
eaf98e5d-9cee-4e6a-b2a5-bb3ff447e068,Alex_Baptiste,alex baptiste,Baptiste
43492dbb-26f2-4d40-9180-f1b327ec5926,Alex_Bruce,alex bruce,Bruce
ced6c3cf-35c9-413b-bfd4-6d5839d6827a,Alex_Iwobi,alex iwobi,Iwobi
0b884173-3eb7-4531-b176-91793b34c789,Alex_McCarthy,alex mccarthy,McCarthy
03c166c5-fd0c-4c21-8f75-859483a06010,Alex_Oxlade-Chamberlain,alex oxladechamberlain,Chamberlain
a49dd9d8-7ad2-4ff8-b063-f075e2e51147,Alex_Palmer,alex palmer,Palmer
62606932-4228-4ef3-b0f0-56572cbcecaf,Alex_Pike,alex pike,Pike
f24e04bd-761b-4a0b-b6eb-0e53b49a6bb8,Alex_Pritchard,alex pritchard,Pritchard
b1049117-4b41-4db9-98f5-ca585e94b2e1,Alex_Smithies_89,alex smithies,Smithies
294fb1a5-9071-4652-9d4c-03418dee222d,Alexander Isak,alexander isak,Isak
2c96f0a5-1b38-4edf-97bf-a61ece7621d1,Alexander_Manninger,alexander manninger,Manninger
080e38a2-adba-4e54-83df-f2c7d24d9e52,Alexander_Sørloth,alexander sorloth,Sørloth
